"PlantId","TotalDamge","MaxDamage","tick"
"",234,490000,1.0
"",266,510000,1.0
"",466,490000,2.0
"",524,510000,2.0
"",695,490000,3.0
"",781,510000,3.0
"",926,490000,4.0
"",1031,510000,4.0
"",1151,490000,5.0
"",1273,510000,5.0
"",1366,490000,6.0
"",1518,510000,6.0
"",1576,490000,7.0
"",1757,510000,7.0
"",1782,490000,8.0
"",1987,510000,8.0
"",1984,490000,9.0
"",2216,510000,9.0
"",2183,490000,10.0
"",2438,510000,10.0
"",2378,490000,11.0
"",2656,510000,11.0
"",2572,490000,12.0
"",2867,510000,12.0
"",2762,490000,13.0
"",3077,510000,13.0
"",2946,490000,14.0
"",3284,510000,14.0
"",3128,490000,15.0
"",3483,510000,15.0
"",3304,490000,16.0
"",3677,510000,16.0
"",3475,490000,17.0
"",3862,510000,17.0
"",3643,490000,18.0
"",4039,510000,18.0
"",3807,490000,19.0
"",4214,510000,19.0
"",3962,490000,20.0
"",4386,510000,20.0
"",4112,490000,21.0
"",4554,510000,21.0
"",4256,490000,22.0
"",4720,510000,22.0
"",4399,490000,23.0
"",4875,510000,23.0
