"Count","tick","InsectId"
500,1.0,""
498,2.0,""
492,3.0,""
487,4.0,""
480,5.0,""
473,6.0,""
467,7.0,""
458,8.0,""
448,9.0,""
437,10.0,""
428,11.0,""
418,12.0,""
406,13.0,""
394,14.0,""
382,15.0,""
370,16.0,""
359,17.0,""
341,18.0,""
333,19.0,""
321,20.0,""
314,21.0,""
303,22.0,""
298,23.0,""
290,24.0,""
280,25.0,""
271,26.0,""
263,27.0,""
254,28.0,""
246,29.0,""
233,30.0,""
225,31.0,""
213,32.0,""
209,33.0,""
202,34.0,""
194,35.0,""
181,36.0,""
170,37.0,""
162,38.0,""
152,39.0,""
147,40.0,""
136,41.0,""
127,42.0,""
119,43.0,""
111,44.0,""
106,45.0,""
100,46.0,""
93,47.0,""
87,48.0,""
82,49.0,""
76,50.0,""
73,51.0,""
64,52.0,""
60,53.0,""
57,54.0,""
56,55.0,""
47,56.0,""
46,57.0,""
42,58.0,""
39,59.0,""
36,60.0,""
32,61.0,""
30,62.0,""
30,63.0,""
27,64.0,""
26,65.0,""
24,66.0,""
24,67.0,""
19,68.0,""
16,69.0,""
16,70.0,""
16,71.0,""
16,72.0,""
15,73.0,""
14,74.0,""
13,75.0,""
12,76.0,""
11,77.0,""
10,78.0,""
7,79.0,""
5,80.0,""
3,81.0,""
2,82.0,""
2,83.0,""
2,84.0,""
2,85.0,""
2,86.0,""
1,87.0,""
1,88.0,""
1,89.0,""
1,90.0,""
1,91.0,""
1,92.0,""
1,93.0,""
1,94.0,""
1,95.0,""
1,96.0,""
1,97.0,""
1,98.0,""
1,99.0,""
0,100.0,""
