"PlantId","TotalDamge","MaxDamage","tick"
"",137,250000,1.0
"",363,750000,1.0
"",298,250000,2.0
"",676,750000,2.0
"",459,250000,3.0
"",970,750000,3.0
"",622,250000,4.0
"",1252,750000,4.0
"",790,250000,5.0
"",1511,750000,5.0
"",940,250000,6.0
"",1597,750000,6.0
"",1074,250000,7.0
"",1665,750000,7.0
"",1204,250000,8.0
"",1724,750000,8.0
"",1336,250000,9.0
"",1771,750000,9.0
"",1457,250000,10.0
"",1815,750000,10.0
"",1572,250000,11.0
"",1854,750000,11.0
"",1674,250000,12.0
"",1894,750000,12.0
"",1769,250000,13.0
"",1930,750000,13.0
"",1864,250000,14.0
"",1959,750000,14.0
"",1956,250000,15.0
"",1981,750000,15.0
"",2041,250000,16.0
"",2005,750000,16.0
"",2120,250000,17.0
"",2031,750000,17.0
