"PlantId","TotalDamge","MaxDamage","tick"
"",1,1000000,1.0
"",0,0,1.0
"",2,1000000,2.0
"",0,0,2.0
"",3,1000000,3.0
"",0,0,3.0
"",4,1000000,4.0
"",0,0,4.0
"",5,1000000,5.0
"",0,0,5.0
"",6,1000000,6.0
"",0,0,6.0
"",7,1000000,7.0
"",0,0,7.0
"",8,1000000,8.0
"",0,0,8.0
"",9,1000000,9.0
"",0,0,9.0
"",10,1000000,10.0
"",0,0,10.0
"",11,1000000,11.0
"",0,0,11.0
"",12,1000000,12.0
"",0,0,12.0
"",13,1000000,13.0
"",0,0,13.0
"",14,1000000,14.0
"",0,0,14.0
"",15,1000000,15.0
"",0,0,15.0
"",16,1000000,16.0
"",0,0,16.0
"",17,1000000,17.0
"",0,0,17.0
"",18,1000000,18.0
"",0,0,18.0
"",19,1000000,19.0
"",0,0,19.0
"",20,1000000,20.0
"",0,0,20.0
"",21,1000000,21.0
"",0,0,21.0
"",22,1000000,22.0
"",0,0,22.0
"",23,1000000,23.0
"",0,0,23.0
"",24,1000000,24.0
"",0,0,24.0
"",25,1000000,25.0
"",0,0,25.0
"",26,1000000,26.0
"",0,0,26.0
"",27,1000000,27.0
"",0,0,27.0
"",27,1000000,28.0
"",0,0,28.0
