"PlantId","TotalDamge","MaxDamage","tick"
"",325,490000,1.0
"",175,510000,1.0
"",682,490000,2.0
"",306,510000,2.0
"",1070,490000,3.0
"",399,510000,3.0
"",1478,490000,4.0
"",465,510000,4.0
"",1887,490000,5.0
"",512,510000,5.0
"",2296,490000,6.0
"",550,510000,6.0
"",2714,490000,7.0
"",575,510000,7.0
"",3127,490000,8.0
"",593,510000,8.0
"",3531,490000,9.0
"",611,510000,9.0
"",3927,490000,10.0
"",624,510000,10.0
"",4315,490000,11.0
"",636,510000,11.0
"",4698,490000,12.0
"",643,510000,12.0
"",5071,490000,13.0
"",649,510000,13.0
"",5440,490000,14.0
"",652,510000,14.0
"",5798,490000,15.0
"",658,510000,15.0
"",6146,490000,16.0
"",665,510000,16.0
"",6486,490000,17.0
"",672,510000,17.0
"",6818,490000,18.0
"",677,510000,18.0
"",7134,490000,19.0
"",683,510000,19.0
"",7446,490000,20.0
"",687,510000,20.0
"",7748,490000,21.0
"",690,510000,21.0
"",8044,490000,22.0
"",692,510000,22.0
"",8336,490000,23.0
"",692,510000,23.0
"",8621,490000,24.0
"",692,510000,24.0
"",8897,490000,25.0
"",693,510000,25.0
"",9163,490000,26.0
"",694,510000,26.0
"",9417,490000,27.0
"",695,510000,27.0
"",9661,490000,28.0
"",696,510000,28.0
"",9896,490000,29.0
"",698,510000,29.0
"",10123,490000,30.0
"",699,510000,30.0
"",10345,490000,31.0
"",699,510000,31.0
"",10558,490000,32.0
"",699,510000,32.0
"",10756,490000,33.0
"",701,510000,33.0
"",10942,490000,34.0
"",703,510000,34.0
"",11115,490000,35.0
"",704,510000,35.0
"",11272,490000,36.0
"",706,510000,36.0
"",11423,490000,37.0
"",707,510000,37.0
"",11570,490000,38.0
"",707,510000,38.0
"",11711,490000,39.0
"",707,510000,39.0
"",11845,490000,40.0
"",707,510000,40.0
"",11966,490000,41.0
"",707,510000,41.0
"",12083,490000,42.0
"",707,510000,42.0
"",12190,490000,43.0
"",707,510000,43.0
"",12292,490000,44.0
"",708,510000,44.0
"",12388,490000,45.0
"",710,510000,45.0
"",12481,490000,46.0
"",711,510000,46.0
"",12569,490000,47.0
"",712,510000,47.0
"",12653,490000,48.0
"",713,510000,48.0
"",12731,490000,49.0
"",714,510000,49.0
"",12805,490000,50.0
"",715,510000,50.0
"",12876,490000,51.0
"",716,510000,51.0
"",12944,490000,52.0
"",716,510000,52.0
"",13007,490000,53.0
"",716,510000,53.0
"",13069,490000,54.0
"",716,510000,54.0
"",13128,490000,55.0
"",716,510000,55.0
"",13184,490000,56.0
"",716,510000,56.0
