"PlantId","TotalDamge","MaxDamage","tick"
"",208,250000,1.0
"",292,750000,1.0
"",466,250000,2.0
"",529,750000,2.0
"",746,250000,3.0
"",740,750000,3.0
"",1049,250000,4.0
"",919,750000,4.0
"",1370,250000,5.0
"",1071,750000,5.0
"",1710,250000,6.0
"",1197,750000,6.0
"",2034,250000,7.0
"",1330,750000,7.0
"",2366,250000,8.0
"",1449,750000,8.0
"",2697,250000,9.0
"",1564,750000,9.0
"",3022,250000,10.0
"",1675,750000,10.0
"",3337,250000,11.0
"",1784,750000,11.0
"",3642,250000,12.0
"",1892,750000,12.0
"",3961,250000,13.0
"",1977,750000,13.0
"",4280,250000,14.0
"",2057,750000,14.0
"",4580,250000,15.0
"",2146,750000,15.0
"",4866,250000,16.0
"",2235,750000,16.0
"",5150,250000,17.0
"",2314,750000,17.0
"",5429,250000,18.0
"",2385,750000,18.0
"",5708,250000,19.0
"",2450,750000,19.0
"",5979,250000,20.0
"",2515,750000,20.0
"",6242,250000,21.0
"",2577,750000,21.0
"",6489,250000,22.0
"",2643,750000,22.0
"",6722,250000,23.0
"",2710,750000,23.0
"",6947,250000,24.0
"",2772,750000,24.0
"",7166,250000,25.0
"",2833,750000,25.0
"",7374,250000,26.0
"",2900,750000,26.0
"",7582,250000,27.0
"",2952,750000,27.0
"",7767,250000,28.0
"",3017,750000,28.0
"",7958,250000,29.0
"",3072,750000,29.0
"",8141,250000,30.0
"",3128,750000,30.0
"",8328,250000,31.0
"",3168,750000,31.0
"",8506,250000,32.0
"",3206,750000,32.0
"",8668,250000,33.0
"",3251,750000,33.0
"",8822,250000,34.0
"",3293,750000,34.0
"",8973,250000,35.0
"",3331,750000,35.0
"",9120,250000,36.0
"",3365,750000,36.0
"",9259,250000,37.0
"",3396,750000,37.0
"",9393,250000,38.0
"",3422,750000,38.0
"",9523,250000,39.0
"",3448,750000,39.0
"",9645,250000,40.0
"",3477,750000,40.0
"",9761,250000,41.0
"",3505,750000,41.0
"",9879,250000,42.0
"",3528,750000,42.0
"",9991,250000,43.0
"",3549,750000,43.0
"",10091,250000,44.0
"",3577,750000,44.0
"",10189,250000,45.0
"",3603,750000,45.0
"",10278,250000,46.0
"",3630,750000,46.0
"",10364,250000,47.0
"",3657,750000,47.0
"",10448,250000,48.0
"",3680,750000,48.0
"",10531,250000,49.0
"",3697,750000,49.0
"",10610,250000,50.0
"",3714,750000,50.0
"",10687,250000,51.0
"",3730,750000,51.0
"",10760,250000,52.0
"",3744,750000,52.0
"",10827,250000,53.0
"",3759,750000,53.0
"",10891,250000,54.0
"",3774,750000,54.0
"",10950,250000,55.0
"",3790,750000,55.0
"",11002,250000,56.0
"",3807,750000,56.0
"",11051,250000,57.0
"",3821,750000,57.0
"",11093,250000,58.0
"",3836,750000,58.0
"",11130,250000,59.0
"",3853,750000,59.0
"",11169,250000,60.0
"",3866,750000,60.0
"",11207,250000,61.0
"",3877,750000,61.0
"",11240,250000,62.0
"",3890,750000,62.0
"",11272,250000,63.0
"",3900,750000,63.0
"",11302,250000,64.0
"",3911,750000,64.0
"",11331,250000,65.0
"",3920,750000,65.0
"",11356,250000,66.0
"",3930,750000,66.0
"",11376,250000,67.0
"",3941,750000,67.0
"",11397,250000,68.0
"",3951,750000,68.0
"",11416,250000,69.0
"",3962,750000,69.0
"",11430,250000,70.0
"",3972,750000,70.0
"",11444,250000,71.0
"",3980,750000,71.0
"",11462,250000,72.0
"",3983,750000,72.0
"",11477,250000,73.0
"",3987,750000,73.0
"",11491,250000,74.0
"",3992,750000,74.0
"",11504,250000,75.0
"",3996,750000,75.0
"",11517,250000,76.0
"",3998,750000,76.0
"",11528,250000,77.0
"",3999,750000,77.0
"",11540,250000,78.0
"",3999,750000,78.0
"",11551,250000,79.0
"",4000,750000,79.0
"",11561,250000,80.0
"",4001,750000,80.0
"",11571,250000,81.0
"",4002,750000,81.0
"",11579,250000,82.0
"",4003,750000,82.0
