"PlantId","TotalDamge","MaxDamage","tick"
"",358,70000,1.0
"",142,300000,1.0
"",717,70000,2.0
"",283,300000,2.0
"",1071,70000,3.0
"",425,300000,3.0
"",1425,70000,4.0
"",564,300000,4.0
"",1782,70000,5.0
"",697,300000,5.0
"",2138,70000,6.0
"",827,300000,6.0
"",2489,70000,7.0
"",958,300000,7.0
"",2826,70000,8.0
"",1099,300000,8.0
"",3162,70000,9.0
"",1235,300000,9.0
"",3498,70000,10.0
"",1363,300000,10.0
"",3831,70000,11.0
"",1489,300000,11.0
"",4154,70000,12.0
"",1611,300000,12.0
"",4474,70000,13.0
"",1730,300000,13.0
"",4783,70000,14.0
"",1854,300000,14.0
"",5091,70000,15.0
"",1973,300000,15.0
"",5151,70000,16.0
"",2110,300000,16.0
"",5166,70000,17.0
"",2247,300000,17.0
"",5170,70000,18.0
"",2383,300000,18.0
"",5184,70000,19.0
"",2505,300000,19.0
"",5194,70000,20.0
"",2626,300000,20.0
"",5203,70000,21.0
"",2744,300000,21.0
"",5209,70000,22.0
"",2862,300000,22.0
"",5215,70000,23.0
"",2978,300000,23.0
"",5221,70000,24.0
"",3090,300000,24.0
"",5224,70000,25.0
"",3201,300000,25.0
"",5227,70000,26.0
"",3307,300000,26.0
"",5231,70000,27.0
"",3407,300000,27.0
"",5236,70000,28.0
"",3505,300000,28.0
"",5244,70000,29.0
"",3594,300000,29.0
"",5247,70000,30.0
"",3685,300000,30.0
"",5247,70000,31.0
"",3777,300000,31.0
"",5251,70000,32.0
"",3862,300000,32.0
"",5255,70000,33.0
"",3945,300000,33.0
"",5258,70000,34.0
"",4028,300000,34.0
"",5259,70000,35.0
"",4109,300000,35.0
"",5261,70000,36.0
"",4185,300000,36.0
"",5264,70000,37.0
"",4258,300000,37.0
"",5271,70000,38.0
"",4322,300000,38.0
"",5274,70000,39.0
"",4386,300000,39.0
"",5278,70000,40.0
"",4446,300000,40.0
"",5278,70000,41.0
"",4507,300000,41.0
"",5280,70000,42.0
"",4564,300000,42.0
"",5284,70000,43.0
"",4619,300000,43.0
"",5288,70000,44.0
"",4672,300000,44.0
"",5289,70000,45.0
"",4725,300000,45.0
"",5292,70000,46.0
"",4776,300000,46.0
"",5294,70000,47.0
"",4826,300000,47.0
"",5296,70000,48.0
"",4873,300000,48.0
"",5298,70000,49.0
"",4917,300000,49.0
"",5301,70000,50.0
"",4957,300000,50.0
"",5302,70000,51.0
"",4996,300000,51.0
"",5303,70000,52.0
"",5032,300000,52.0
"",5306,70000,53.0
"",5063,300000,53.0
"",5308,70000,54.0
"",5093,300000,54.0
"",5311,70000,55.0
"",5121,300000,55.0
"",5311,70000,56.0
"",5151,300000,56.0
"",5312,70000,57.0
"",5179,300000,57.0
"",5314,70000,58.0
"",5205,300000,58.0
"",5315,70000,59.0
"",5230,300000,59.0
"",5317,70000,60.0
"",5254,300000,60.0
"",5317,70000,61.0
"",5278,300000,61.0
"",5318,70000,62.0
"",5299,300000,62.0
"",5319,70000,63.0
"",5319,300000,63.0
"",5320,70000,64.0
"",5337,300000,64.0
"",5322,70000,65.0
"",5354,300000,65.0
"",5322,70000,66.0
"",5371,300000,66.0
"",5322,70000,67.0
"",5386,300000,67.0
"",5322,70000,68.0
"",5401,300000,68.0
"",5323,70000,69.0
"",5415,300000,69.0
"",5324,70000,70.0
"",5428,300000,70.0
"",5326,70000,71.0
"",5436,300000,71.0
"",5327,70000,72.0
"",5445,300000,72.0
"",5328,70000,73.0
"",5454,300000,73.0
"",5329,70000,74.0
"",5463,300000,74.0
"",5329,70000,75.0
"",5473,300000,75.0
"",5329,70000,76.0
"",5483,300000,76.0
"",5330,70000,77.0
"",5491,300000,77.0
"",5331,70000,78.0
"",5499,300000,78.0
"",5332,70000,79.0
"",5507,300000,79.0
"",5332,70000,80.0
"",5516,300000,80.0
"",5332,70000,81.0
"",5525,300000,81.0
"",5332,70000,82.0
"",5532,300000,82.0
"",5332,70000,83.0
"",5539,300000,83.0
"",5332,70000,84.0
"",5546,300000,84.0
"",5332,70000,85.0
"",5552,300000,85.0
"",5332,70000,86.0
"",5557,300000,86.0
"",5333,70000,87.0
"",5561,300000,87.0
"",5333,70000,88.0
"",5565,300000,88.0
"",5333,70000,89.0
"",5569,300000,89.0
"",5333,70000,90.0
"",5572,300000,90.0
"",5333,70000,91.0
"",5575,300000,91.0
"",5333,70000,92.0
"",5578,300000,92.0
"",5333,70000,93.0
"",5581,300000,93.0
"",5333,70000,94.0
"",5583,300000,94.0
"",5333,70000,95.0
"",5585,300000,95.0
"",5333,70000,96.0
"",5586,300000,96.0
"",5333,70000,97.0
"",5586,300000,97.0
