"PlantId","TotalDamge","MaxDamage","tick"
"",242,490000,1.0
"",258,510000,1.0
"",482,490000,2.0
"",511,510000,2.0
"",717,490000,3.0
"",764,510000,3.0
"",954,490000,4.0
"",1011,510000,4.0
"",1187,490000,5.0
"",1262,510000,5.0
"",1418,490000,6.0
"",1499,510000,6.0
"",1647,490000,7.0
"",1728,510000,7.0
"",1872,490000,8.0
"",1951,510000,8.0
"",2089,490000,9.0
"",2170,510000,9.0
"",2297,490000,10.0
"",2382,510000,10.0
"",2499,490000,11.0
"",2589,510000,11.0
"",2694,490000,12.0
"",2793,510000,12.0
"",2885,490000,13.0
"",2990,510000,13.0
"",3065,490000,14.0
"",3189,510000,14.0
"",3244,490000,15.0
"",3376,510000,15.0
"",3421,490000,16.0
"",3555,510000,16.0
"",3592,490000,17.0
"",3729,510000,17.0
"",3759,490000,18.0
"",3896,510000,18.0
"",3926,490000,19.0
"",4053,510000,19.0
"",4083,490000,20.0
"",4212,510000,20.0
"",4233,490000,21.0
"",4364,510000,21.0
"",4387,490000,22.0
"",4505,510000,22.0
"",4535,490000,23.0
"",4644,510000,23.0
"",4679,490000,24.0
"",4775,510000,24.0
"",4819,490000,25.0
"",4900,510000,25.0
"",4954,490000,26.0
"",5017,510000,26.0
"",5082,490000,27.0
"",5129,510000,27.0
"",5202,490000,28.0
"",5239,510000,28.0
"",5315,490000,29.0
"",5346,510000,29.0
"",5428,490000,30.0
"",5447,510000,30.0
"",5533,490000,31.0
"",5550,510000,31.0
"",5631,490000,32.0
"",5652,510000,32.0
"",5730,490000,33.0
"",5739,510000,33.0
"",5819,490000,34.0
"",5827,510000,34.0
"",5902,490000,35.0
"",5914,510000,35.0
"",5979,490000,36.0
"",6001,510000,36.0
"",6054,490000,37.0
"",6084,510000,37.0
"",6122,490000,38.0
"",6164,510000,38.0
"",6189,490000,39.0
"",6237,510000,39.0
"",6254,490000,40.0
"",6308,510000,40.0
"",6320,490000,41.0
"",6374,510000,41.0
"",6380,490000,42.0
"",6437,510000,42.0
"",6439,490000,43.0
"",6494,510000,43.0
"",6496,490000,44.0
"",6548,510000,44.0
"",6553,490000,45.0
"",6599,510000,45.0
"",6607,490000,46.0
"",6646,510000,46.0
"",6658,490000,47.0
"",6691,510000,47.0
"",6707,490000,48.0
"",6732,510000,48.0
"",6749,490000,49.0
"",6769,510000,49.0
"",6787,490000,50.0
"",6802,510000,50.0
"",6824,490000,51.0
"",6833,510000,51.0
"",6859,490000,52.0
"",6862,510000,52.0
"",6891,490000,53.0
"",6893,510000,53.0
"",6920,490000,54.0
"",6922,510000,54.0
"",6945,490000,55.0
"",6951,510000,55.0
"",6970,490000,56.0
"",6977,510000,56.0
"",6992,490000,57.0
"",7001,510000,57.0
"",7014,490000,58.0
"",7023,510000,58.0
"",7037,490000,59.0
"",7042,510000,59.0
"",7056,490000,60.0
"",7060,510000,60.0
"",7071,490000,61.0
"",7079,510000,61.0
"",7084,490000,62.0
"",7097,510000,62.0
"",7095,490000,63.0
"",7114,510000,63.0
"",7106,490000,64.0
"",7130,510000,64.0
