"PlantId","TotalDamge","MaxDamage","tick"
"",244,300000,1.0
"",256,500000,1.0
"",482,300000,2.0
"",517,500000,2.0
"",727,300000,3.0
"",763,500000,3.0
"",958,300000,4.0
"",1014,500000,4.0
"",1192,300000,5.0
"",1256,500000,5.0
"",1425,300000,6.0
"",1496,500000,6.0
"",1653,300000,7.0
"",1731,500000,7.0
"",1875,300000,8.0
"",1965,500000,8.0
"",2088,300000,9.0
"",2195,500000,9.0
"",2302,300000,10.0
"",2412,500000,10.0
"",2504,300000,11.0
"",2628,500000,11.0
"",2699,300000,12.0
"",2844,500000,12.0
"",2893,300000,13.0
"",3051,500000,13.0
"",3081,300000,14.0
"",3258,500000,14.0
"",3268,300000,15.0
"",3457,500000,15.0
"",3445,300000,16.0
"",3657,500000,16.0
"",3617,300000,17.0
"",3843,500000,17.0
"",3783,300000,18.0
"",4026,500000,18.0
"",3942,300000,19.0
"",4204,500000,19.0
"",4094,300000,20.0
"",4381,500000,20.0
"",4240,300000,21.0
"",4555,500000,21.0
"",4383,300000,22.0
"",4724,500000,22.0
"",4523,300000,23.0
"",4886,500000,23.0
"",4662,300000,24.0
"",5034,500000,24.0
"",4800,300000,25.0
"",5174,500000,25.0
"",4930,300000,26.0
"",5311,500000,26.0
"",5055,300000,27.0
"",5446,500000,27.0
"",5172,300000,28.0
"",5574,500000,28.0
"",5277,300000,29.0
"",5701,500000,29.0
"",5379,300000,30.0
"",5824,500000,30.0
"",5477,300000,31.0
"",5940,500000,31.0
"",5569,300000,32.0
"",6056,500000,32.0
"",5660,300000,33.0
"",6164,500000,33.0
"",5746,300000,34.0
"",6265,500000,34.0
"",5832,300000,35.0
"",6359,500000,35.0
"",5922,300000,36.0
"",6443,500000,36.0
"",6006,300000,37.0
"",6523,500000,37.0
"",6083,300000,38.0
"",6602,500000,38.0
"",6161,300000,39.0
"",6673,500000,39.0
"",6235,300000,40.0
"",6741,500000,40.0
"",6301,300000,41.0
"",6809,500000,41.0
"",6359,300000,42.0
"",6876,500000,42.0
"",6419,300000,43.0
"",6936,500000,43.0
"",6474,300000,44.0
"",6992,500000,44.0
"",6532,300000,45.0
"",7040,500000,45.0
"",6585,300000,46.0
"",7086,500000,46.0
"",6633,300000,47.0
"",7136,500000,47.0
"",6678,300000,48.0
"",7183,500000,48.0
"",6721,300000,49.0
"",7226,500000,49.0
"",6762,300000,50.0
"",7268,500000,50.0
"",6804,300000,51.0
"",7307,500000,51.0
"",6840,300000,52.0
"",7348,500000,52.0
"",6873,300000,53.0
"",7390,500000,53.0
"",6909,300000,54.0
"",7426,500000,54.0
"",6942,300000,55.0
"",7459,500000,55.0
"",6975,300000,56.0
"",7490,500000,56.0
"",7006,300000,57.0
"",7517,500000,57.0
"",7034,300000,58.0
"",7544,500000,58.0
"",7062,300000,59.0
"",7568,500000,59.0
"",7086,300000,60.0
"",7591,500000,60.0
"",7109,300000,61.0
"",7611,500000,61.0
"",7131,300000,62.0
"",7628,500000,62.0
"",7149,300000,63.0
"",7646,500000,63.0
"",7167,300000,64.0
"",7664,500000,64.0
"",7183,300000,65.0
"",7681,500000,65.0
"",7199,300000,66.0
"",7697,500000,66.0
"",7216,300000,67.0
"",7709,500000,67.0
"",7232,300000,68.0
"",7721,500000,68.0
"",7245,300000,69.0
"",7732,500000,69.0
"",7258,300000,70.0
"",7741,500000,70.0
"",7267,300000,71.0
"",7750,500000,71.0
"",7275,300000,72.0
"",7758,500000,72.0
"",7283,300000,73.0
"",7765,500000,73.0
"",7291,300000,74.0
"",7769,500000,74.0
"",7298,300000,75.0
"",7772,500000,75.0
"",7305,300000,76.0
"",7775,500000,76.0
"",7312,300000,77.0
"",7778,500000,77.0
"",7319,300000,78.0
"",7781,500000,78.0
"",7326,300000,79.0
"",7783,500000,79.0
"",7332,300000,80.0
"",7784,500000,80.0
"",7335,300000,81.0
"",7786,500000,81.0
"",7338,300000,82.0
"",7788,500000,82.0
"",7341,300000,83.0
"",7789,500000,83.0
"",7341,300000,84.0
"",7791,500000,84.0
"",7341,300000,85.0
"",7793,500000,85.0
"",7341,300000,86.0
"",7795,500000,86.0
"",7341,300000,87.0
"",7797,500000,87.0
"",7341,300000,88.0
"",7799,500000,88.0
"",7341,300000,89.0
"",7801,500000,89.0
"",7341,300000,90.0
"",7803,500000,90.0
"",7342,300000,91.0
"",7804,500000,91.0
"",7342,300000,92.0
"",7806,500000,92.0
"",7342,300000,93.0
"",7808,500000,93.0
"",7343,300000,94.0
"",7809,500000,94.0
"",7344,300000,95.0
"",7810,500000,95.0
"",7345,300000,96.0
"",7811,500000,96.0
"",7345,300000,97.0
"",7812,500000,97.0
"",7345,300000,98.0
"",7813,500000,98.0
"",7345,300000,99.0
"",7814,500000,99.0
"",7345,300000,100.0
"",7815,500000,100.0
"",7345,300000,101.0
"",7816,500000,101.0
"",7345,300000,102.0
"",7817,500000,102.0
"",7345,300000,103.0
"",7817,500000,103.0
