"Count","tick","InsectId"
500,1.0,""
499,2.0,""
491,3.0,""
482,4.0,""
476,5.0,""
473,6.0,""
463,7.0,""
456,8.0,""
443,9.0,""
431,10.0,""
418,11.0,""
411,12.0,""
401,13.0,""
395,14.0,""
386,15.0,""
377,16.0,""
358,17.0,""
349,18.0,""
337,19.0,""
329,20.0,""
320,21.0,""
312,22.0,""
302,23.0,""
287,24.0,""
278,25.0,""
267,26.0,""
260,27.0,""
245,28.0,""
232,29.0,""
225,30.0,""
214,31.0,""
208,32.0,""
199,33.0,""
187,34.0,""
180,35.0,""
174,36.0,""
164,37.0,""
156,38.0,""
149,39.0,""
142,40.0,""
134,41.0,""
125,42.0,""
120,43.0,""
111,44.0,""
106,45.0,""
99,46.0,""
98,47.0,""
92,48.0,""
86,49.0,""
83,50.0,""
81,51.0,""
77,52.0,""
75,53.0,""
72,54.0,""
66,55.0,""
64,56.0,""
58,57.0,""
55,58.0,""
52,59.0,""
47,60.0,""
43,61.0,""
39,62.0,""
36,63.0,""
36,64.0,""
33,65.0,""
32,66.0,""
29,67.0,""
28,68.0,""
24,69.0,""
22,70.0,""
18,71.0,""
16,72.0,""
15,73.0,""
12,74.0,""
10,75.0,""
10,76.0,""
10,77.0,""
10,78.0,""
9,79.0,""
7,80.0,""
5,81.0,""
5,82.0,""
4,83.0,""
2,84.0,""
2,85.0,""
2,86.0,""
2,87.0,""
2,88.0,""
2,89.0,""
2,90.0,""
2,91.0,""
2,92.0,""
2,93.0,""
2,94.0,""
2,95.0,""
2,96.0,""
1,97.0,""
1,98.0,""
1,99.0,""
1,100.0,""
1,101.0,""
1,102.0,""
0,103.0,""
