"Count","tick","InsectId"
500,1.0,""
486,2.0,""
482,3.0,""
472,4.0,""
463,5.0,""
456,6.0,""
452,7.0,""
443,8.0,""
434,9.0,""
427,10.0,""
413,11.0,""
400,12.0,""
392,13.0,""
383,14.0,""
369,15.0,""
361,16.0,""
353,17.0,""
345,18.0,""
339,19.0,""
330,20.0,""
321,21.0,""
312,22.0,""
304,23.0,""
298,24.0,""
290,25.0,""
285,26.0,""
276,27.0,""
258,28.0,""
254,29.0,""
241,30.0,""
233,31.0,""
227,32.0,""
220,33.0,""
210,34.0,""
201,35.0,""
194,36.0,""
189,37.0,""
182,38.0,""
174,39.0,""
170,40.0,""
165,41.0,""
156,42.0,""
149,43.0,""
143,44.0,""
136,45.0,""
131,46.0,""
123,47.0,""
118,48.0,""
110,49.0,""
106,50.0,""
101,51.0,""
93,52.0,""
90,53.0,""
82,54.0,""
80,55.0,""
76,56.0,""
71,57.0,""
66,58.0,""
62,59.0,""
58,60.0,""
57,61.0,""
55,62.0,""
49,63.0,""
46,64.0,""
40,65.0,""
35,66.0,""
32,67.0,""
30,68.0,""
27,69.0,""
25,70.0,""
23,71.0,""
21,72.0,""
18,73.0,""
15,74.0,""
12,75.0,""
10,76.0,""
10,77.0,""
9,78.0,""
7,79.0,""
7,80.0,""
6,81.0,""
6,82.0,""
