"PlantId","TotalDamge","MaxDamage","tick"
"",0,500000,1.0
"",1,500000,1.0
"",0,500000,2.0
"",2,500000,2.0
"",1,500000,3.0
"",2,500000,3.0
"",1,500000,4.0
"",3,500000,4.0
"",2,500000,5.0
"",3,500000,5.0
"",2,500000,6.0
"",4,500000,6.0
"",3,500000,7.0
"",4,500000,7.0
"",4,500000,8.0
"",4,500000,8.0
"",5,500000,9.0
"",4,500000,9.0
"",6,500000,10.0
"",4,500000,10.0
"",7,500000,11.0
"",4,500000,11.0
"",8,500000,12.0
"",4,500000,12.0
"",9,500000,13.0
"",4,500000,13.0
"",10,500000,14.0
"",4,500000,14.0
"",11,500000,15.0
"",4,500000,15.0
"",12,500000,16.0
"",4,500000,16.0
"",13,500000,17.0
"",4,500000,17.0
"",14,500000,18.0
"",4,500000,18.0
"",15,500000,19.0
"",4,500000,19.0
"",15,500000,20.0
"",5,500000,20.0
"",16,500000,21.0
"",5,500000,21.0
"",17,500000,22.0
"",5,500000,22.0
"",18,500000,23.0
"",5,500000,23.0
"",18,500000,24.0
"",6,500000,24.0
"",19,500000,25.0
"",6,500000,25.0
"",19,500000,26.0
"",7,500000,26.0
"",19,500000,27.0
"",8,500000,27.0
"",20,500000,28.0
"",8,500000,28.0
"",20,500000,29.0
"",9,500000,29.0
"",21,500000,30.0
"",9,500000,30.0
"",21,500000,31.0
"",10,500000,31.0
"",21,500000,32.0
"",11,500000,32.0
"",21,500000,33.0
"",12,500000,33.0
"",22,500000,34.0
"",12,500000,34.0
"",22,500000,35.0
"",13,500000,35.0
"",23,500000,36.0
"",13,500000,36.0
"",23,500000,37.0
"",14,500000,37.0
"",23,500000,38.0
"",15,500000,38.0
"",24,500000,39.0
"",15,500000,39.0
"",24,500000,40.0
"",16,500000,40.0
"",25,500000,41.0
"",16,500000,41.0
"",26,500000,42.0
"",16,500000,42.0
"",26,500000,43.0
"",17,500000,43.0
"",27,500000,44.0
"",17,500000,44.0
"",27,500000,45.0
"",18,500000,45.0
"",27,500000,46.0
"",19,500000,46.0
