"tick","crop to crop","crop to trap","trap to crop","trap to trap"
1.0,88.0,82.0,0.0,1.0
2.0,167.0,157.0,0.0,13.0
3.0,242.0,208.0,0.0,24.0
4.0,299.0,254.0,2.0,33.0
5.0,338.0,303.0,5.0,40.0
6.0,371.0,347.0,7.0,58.0
7.0,409.0,369.0,9.0,74.0
8.0,436.0,404.0,12.0,83.0
9.0,464.0,431.0,18.0,99.0
10.0,490.0,460.0,22.0,116.0
11.0,509.0,484.0,27.0,132.0
12.0,536.0,503.0,29.0,145.0
13.0,556.0,545.0,30.0,151.0
14.0,571.0,571.0,31.0,159.0
15.0,588.0,587.0,37.0,169.0
16.0,613.0,606.0,42.0,175.0
17.0,639.0,627.0,45.0,184.0
18.0,661.0,643.0,46.0,194.0
19.0,672.0,661.0,47.0,205.0
20.0,690.0,677.0,47.0,213.0
21.0,703.0,694.0,50.0,220.0
22.0,714.0,707.0,54.0,231.0
23.0,730.0,721.0,61.0,242.0
24.0,744.0,737.0,63.0,254.0
25.0,759.0,751.0,63.0,258.0
26.0,779.0,763.0,67.0,265.0
27.0,796.0,780.0,67.0,277.0
28.0,814.0,788.0,69.0,287.0
29.0,826.0,806.0,70.0,294.0
30.0,836.0,820.0,74.0,298.0
31.0,846.0,836.0,78.0,304.0
32.0,850.0,847.0,78.0,317.0
33.0,856.0,855.0,78.0,322.0
34.0,866.0,866.0,78.0,324.0
35.0,878.0,877.0,79.0,327.0
36.0,890.0,886.0,79.0,330.0
37.0,895.0,891.0,79.0,339.0
38.0,902.0,900.0,79.0,345.0
39.0,909.0,902.0,79.0,351.0
40.0,916.0,909.0,79.0,355.0
41.0,922.0,915.0,79.0,360.0
42.0,930.0,926.0,79.0,362.0
43.0,934.0,934.0,80.0,367.0
44.0,940.0,936.0,82.0,371.0
45.0,949.0,945.0,84.0,371.0
46.0,953.0,952.0,85.0,374.0
47.0,959.0,956.0,85.0,378.0
48.0,963.0,963.0,85.0,381.0
49.0,968.0,974.0,88.0,382.0
50.0,972.0,977.0,90.0,387.0
51.0,978.0,980.0,92.0,388.0
52.0,981.0,983.0,93.0,389.0
53.0,984.0,987.0,93.0,391.0
54.0,988.0,992.0,93.0,393.0
55.0,993.0,996.0,94.0,398.0
56.0,998.0,1000.0,94.0,400.0
57.0,1001.0,1002.0,95.0,401.0
58.0,1003.0,1004.0,95.0,401.0
59.0,1006.0,1008.0,95.0,403.0
60.0,1010.0,1013.0,95.0,407.0
61.0,1015.0,1016.0,95.0,409.0
62.0,1019.0,1018.0,96.0,412.0
63.0,1022.0,1019.0,96.0,414.0
64.0,1027.0,1020.0,96.0,414.0
65.0,1030.0,1021.0,96.0,416.0
66.0,1030.0,1023.0,96.0,416.0
67.0,1034.0,1024.0,96.0,416.0
68.0,1035.0,1026.0,96.0,416.0
69.0,1036.0,1027.0,96.0,417.0
70.0,1038.0,1027.0,97.0,418.0
71.0,1042.0,1028.0,97.0,421.0
72.0,1042.0,1033.0,97.0,421.0
73.0,1042.0,1033.0,97.0,422.0
74.0,1042.0,1035.0,97.0,423.0
75.0,1042.0,1036.0,98.0,424.0
76.0,1043.0,1037.0,98.0,425.0
77.0,1043.0,1037.0,98.0,425.0
78.0,1043.0,1038.0,98.0,425.0
79.0,1043.0,1038.0,99.0,425.0
80.0,1043.0,1038.0,99.0,426.0
81.0,1043.0,1038.0,99.0,426.0
82.0,1043.0,1038.0,99.0,426.0
