"tick","crop to crop","crop to trap","trap to crop","trap to trap"
1.0,6.0,2.0,4.0,19.0
2.0,9.0,3.0,6.0,39.0
3.0,13.0,3.0,6.0,52.0
4.0,21.0,4.0,7.0,67.0
5.0,28.0,5.0,9.0,82.0
6.0,34.0,5.0,9.0,103.0
7.0,41.0,7.0,10.0,115.0
8.0,45.0,8.0,13.0,141.0
9.0,54.0,10.0,14.0,162.0
10.0,59.0,10.0,16.0,185.0
11.0,62.0,12.0,18.0,204.0
12.0,65.0,12.0,19.0,217.0
13.0,70.0,17.0,24.0,227.0
14.0,75.0,19.0,25.0,237.0
15.0,79.0,20.0,25.0,251.0
16.0,90.0,20.0,51.0,262.0
17.0,93.0,20.0,64.0,269.0
18.0,101.0,20.0,72.0,269.0
19.0,109.0,20.0,76.0,269.0
20.0,114.0,20.0,88.0,269.0
21.0,120.0,20.0,98.0,269.0
22.0,126.0,20.0,107.0,269.0
23.0,132.0,20.0,113.0,269.0
24.0,142.0,20.0,119.0,269.0
25.0,150.0,20.0,125.0,269.0
26.0,156.0,20.0,128.0,269.0
27.0,161.0,20.0,131.0,269.0
28.0,165.0,20.0,135.0,269.0
29.0,169.0,20.0,140.0,269.0
30.0,171.0,20.0,148.0,269.0
31.0,176.0,20.0,151.0,269.0
32.0,182.0,20.0,151.0,269.0
33.0,188.0,20.0,155.0,269.0
34.0,193.0,20.0,159.0,269.0
35.0,196.0,20.0,162.0,269.0
36.0,204.0,20.0,163.0,269.0
37.0,211.0,20.0,165.0,269.0
38.0,214.0,20.0,168.0,269.0
39.0,217.0,20.0,175.0,269.0
40.0,217.0,20.0,178.0,269.0
41.0,221.0,20.0,182.0,269.0
42.0,224.0,20.0,182.0,269.0
43.0,226.0,20.0,184.0,269.0
44.0,228.0,20.0,188.0,269.0
45.0,230.0,20.0,192.0,269.0
46.0,231.0,20.0,193.0,269.0
47.0,235.0,20.0,196.0,269.0
48.0,239.0,20.0,197.0,269.0
49.0,240.0,20.0,199.0,269.0
50.0,242.0,20.0,201.0,269.0
51.0,243.0,20.0,204.0,269.0
52.0,244.0,20.0,205.0,269.0
53.0,246.0,20.0,206.0,269.0
54.0,249.0,20.0,209.0,269.0
55.0,249.0,20.0,211.0,269.0
56.0,251.0,20.0,214.0,269.0
57.0,253.0,20.0,214.0,269.0
58.0,255.0,20.0,215.0,269.0
59.0,255.0,20.0,217.0,269.0
60.0,257.0,20.0,218.0,269.0
61.0,257.0,20.0,220.0,269.0
62.0,259.0,20.0,220.0,269.0
63.0,260.0,20.0,221.0,269.0
64.0,261.0,20.0,222.0,269.0
65.0,262.0,20.0,223.0,269.0
66.0,262.0,20.0,225.0,269.0
67.0,262.0,20.0,225.0,269.0
68.0,263.0,20.0,225.0,269.0
69.0,264.0,20.0,225.0,269.0
70.0,265.0,20.0,226.0,269.0
71.0,266.0,20.0,227.0,269.0
72.0,266.0,20.0,229.0,269.0
73.0,266.0,20.0,230.0,269.0
74.0,266.0,20.0,231.0,269.0
75.0,266.0,20.0,232.0,269.0
76.0,266.0,20.0,232.0,269.0
77.0,266.0,20.0,232.0,269.0
78.0,266.0,20.0,233.0,269.0
79.0,266.0,20.0,234.0,269.0
80.0,267.0,20.0,235.0,269.0
81.0,267.0,20.0,235.0,269.0
82.0,268.0,20.0,235.0,269.0
83.0,269.0,20.0,235.0,269.0
84.0,269.0,20.0,235.0,269.0
85.0,269.0,20.0,235.0,269.0
86.0,269.0,20.0,235.0,269.0
87.0,269.0,20.0,235.0,269.0
88.0,269.0,20.0,236.0,269.0
89.0,269.0,20.0,236.0,269.0
90.0,269.0,20.0,236.0,269.0
91.0,269.0,20.0,236.0,269.0
92.0,269.0,20.0,236.0,269.0
93.0,269.0,20.0,236.0,269.0
94.0,269.0,20.0,236.0,269.0
95.0,269.0,20.0,236.0,269.0
96.0,269.0,20.0,236.0,269.0
97.0,269.0,20.0,236.0,269.0
