"PlantId","TotalDamge","MaxDamage","tick"
"",186,250000,1.0
"",314,750000,1.0
"",403,250000,2.0
"",583,750000,2.0
"",639,250000,3.0
"",829,750000,3.0
"",886,250000,4.0
"",1054,750000,4.0
"",1143,250000,5.0
"",1260,750000,5.0
"",1403,250000,6.0
"",1456,750000,6.0
"",1669,250000,7.0
"",1642,750000,7.0
"",1947,250000,8.0
"",1807,750000,8.0
"",2231,250000,9.0
"",1957,750000,9.0
"",2532,250000,10.0
"",2083,750000,10.0
"",2821,250000,11.0
"",2207,750000,11.0
"",3099,250000,12.0
"",2329,750000,12.0
"",3382,250000,13.0
"",2438,750000,13.0
"",3661,250000,14.0
"",2542,750000,14.0
"",3932,250000,15.0
"",2640,750000,15.0
"",4209,250000,16.0
"",2724,750000,16.0
"",4489,250000,17.0
"",2797,750000,17.0
"",4761,250000,18.0
"",2870,750000,18.0
"",5024,250000,19.0
"",2946,750000,19.0
"",5292,250000,20.0
"",3008,750000,20.0
"",5556,250000,21.0
"",3065,750000,21.0
"",5815,250000,22.0
"",3118,750000,22.0
"",6076,250000,23.0
"",3161,750000,23.0
"",6332,250000,24.0
"",3203,750000,24.0
"",6576,250000,25.0
"",3249,750000,25.0
"",6816,250000,26.0
"",3294,750000,26.0
"",7051,250000,27.0
"",3335,750000,27.0
"",7268,250000,28.0
"",3376,750000,28.0
"",7482,250000,29.0
"",3416,750000,29.0
"",7687,250000,30.0
"",3452,750000,30.0
"",7882,250000,31.0
"",3490,750000,31.0
"",8076,250000,32.0
"",3523,750000,32.0
"",8265,250000,33.0
"",3554,750000,33.0
"",8447,250000,34.0
"",3582,750000,34.0
"",8622,250000,35.0
"",3608,750000,35.0
"",8787,250000,36.0
"",3637,750000,36.0
"",8950,250000,37.0
"",3663,750000,37.0
"",9103,250000,38.0
"",3692,750000,38.0
"",9256,250000,39.0
"",3713,750000,39.0
"",9407,250000,40.0
"",3732,750000,40.0
"",9550,250000,41.0
"",3754,750000,41.0
"",9683,250000,42.0
"",3777,750000,42.0
"",9815,250000,43.0
"",3794,750000,43.0
"",9941,250000,44.0
"",3811,750000,44.0
"",10060,250000,45.0
"",3828,750000,45.0
"",10172,250000,46.0
"",3847,750000,46.0
"",10280,250000,47.0
"",3862,750000,47.0
"",10384,250000,48.0
"",3876,750000,48.0
"",10479,250000,49.0
"",3891,750000,49.0
"",10566,250000,50.0
"",3910,750000,50.0
"",10649,250000,51.0
"",3928,750000,51.0
"",10727,250000,52.0
"",3943,750000,52.0
"",10808,250000,53.0
"",3952,750000,53.0
"",10883,250000,54.0
"",3959,750000,54.0
"",10956,250000,55.0
"",3966,750000,55.0
"",11024,250000,56.0
"",3974,750000,56.0
"",11088,250000,57.0
"",3981,750000,57.0
"",11148,250000,58.0
"",3987,750000,58.0
"",11205,250000,59.0
"",3992,750000,59.0
"",11256,250000,60.0
"",3999,750000,60.0
"",11307,250000,61.0
"",4005,750000,61.0
"",11355,250000,62.0
"",4012,750000,62.0
"",11399,250000,63.0
"",4017,750000,63.0
"",11438,250000,64.0
"",4024,750000,64.0
"",11470,250000,65.0
"",4032,750000,65.0
"",11501,250000,66.0
"",4036,750000,66.0
"",11527,250000,67.0
"",4042,750000,67.0
"",11553,250000,68.0
"",4046,750000,68.0
"",11575,250000,69.0
"",4051,750000,69.0
"",11599,250000,70.0
"",4052,750000,70.0
"",11620,250000,71.0
"",4054,750000,71.0
"",11640,250000,72.0
"",4055,750000,72.0
"",11655,250000,73.0
"",4058,750000,73.0
"",11668,250000,74.0
"",4060,750000,74.0
"",11679,250000,75.0
"",4061,750000,75.0
"",11688,250000,76.0
"",4062,750000,76.0
"",11697,250000,77.0
"",4063,750000,77.0
"",11705,250000,78.0
"",4064,750000,78.0
"",11712,250000,79.0
"",4064,750000,79.0
"",11718,250000,80.0
"",4065,750000,80.0
"",11724,250000,81.0
"",4065,750000,81.0
"",11729,250000,82.0
"",4066,750000,82.0
