"PlantId","TotalDamge","MaxDamage","tick"
"",249,490000,1.0
"",251,510000,1.0
"",496,490000,2.0
"",504,510000,2.0
"",746,490000,3.0
"",746,510000,3.0
"",987,490000,4.0
"",988,510000,4.0
"",1227,490000,5.0
"",1223,510000,5.0
"",1457,490000,6.0
"",1461,510000,6.0
"",1686,490000,7.0
"",1691,510000,7.0
"",1908,490000,8.0
"",1917,510000,8.0
"",2129,490000,9.0
"",2139,510000,9.0
"",2350,490000,10.0
"",2359,510000,10.0
"",2567,490000,11.0
"",2568,510000,11.0
"",2774,490000,12.0
"",2774,510000,12.0
"",2970,490000,13.0
"",2984,510000,13.0
"",3159,490000,14.0
"",3190,510000,14.0
"",3350,490000,15.0
"",3389,510000,15.0
"",3535,490000,16.0
"",3579,510000,16.0
"",3714,490000,17.0
"",3769,510000,17.0
"",3887,490000,18.0
"",3955,510000,18.0
"",4053,490000,19.0
"",4140,510000,19.0
"",4217,490000,20.0
"",4307,510000,20.0
"",4379,490000,21.0
"",4466,510000,21.0
"",4539,490000,22.0
"",4620,510000,22.0
"",4698,490000,23.0
"",4764,510000,23.0
"",4852,490000,24.0
"",4902,510000,24.0
"",5005,490000,25.0
"",5033,510000,25.0
"",5145,490000,26.0
"",5163,510000,26.0
"",5275,490000,27.0
"",5289,510000,27.0
"",5404,490000,28.0
"",5407,510000,28.0
"",5525,490000,29.0
"",5525,510000,29.0
"",5640,490000,30.0
"",5640,510000,30.0
"",5755,490000,31.0
"",5747,510000,31.0
"",5870,490000,32.0
"",5842,510000,32.0
"",5979,490000,33.0
"",5933,510000,33.0
"",6081,490000,34.0
"",6021,510000,34.0
