"PlantId","TotalDamge","MaxDamage","tick"
"",330,333300,1.0
"",373,333300,1.0
"",297,333400,1.0
"",627,333300,2.0
"",767,333300,2.0
"",604,333400,2.0
"",900,333300,3.0
"",1179,333300,3.0
"",909,333400,3.0
"",1180,333300,4.0
"",1577,333300,4.0
"",1217,333400,4.0
"",1457,333300,5.0
"",1957,333300,5.0
"",1536,333400,5.0
"",1739,333300,6.0
"",2346,333300,6.0
"",1835,333400,6.0
"",2016,333300,7.0
"",2729,333300,7.0
"",2140,333400,7.0
"",2270,333300,8.0
"",3104,333300,8.0
"",2458,333400,8.0
"",2540,333300,9.0
"",3456,333300,9.0
"",2774,333400,9.0
"",2804,333300,10.0
"",3811,333300,10.0
"",3084,333400,10.0
"",3069,333300,11.0
"",4143,333300,11.0
"",3405,333400,11.0
"",3355,333300,12.0
"",4465,333300,12.0
"",3706,333400,12.0
"",3611,333300,13.0
"",4801,333300,13.0
"",4009,333400,13.0
"",3871,333300,14.0
"",5129,333300,14.0
"",4304,333400,14.0
"",4106,333300,15.0
"",5492,333300,15.0
"",4574,333400,15.0
"",4347,333300,16.0
"",5835,333300,16.0
"",4850,333400,16.0
"",4581,333300,17.0
"",6177,333300,17.0
"",5114,333400,17.0
"",4819,333300,18.0
"",6541,333300,18.0
"",5343,333400,18.0
"",5051,333300,19.0
"",6858,333300,19.0
"",5612,333400,19.0
"",5284,333300,20.0
"",7182,333300,20.0
"",5858,333400,20.0
"",5499,333300,21.0
"",7518,333300,21.0
"",6092,333400,21.0
"",5717,333300,22.0
"",7843,333300,22.0
"",6322,333400,22.0
"",5942,333300,23.0
"",8128,333300,23.0
"",6570,333400,23.0
"",6162,333300,24.0
"",8402,333300,24.0
"",6817,333400,24.0
"",6388,333300,25.0
"",8647,333300,25.0
"",7073,333400,25.0
"",6614,333300,26.0
"",8890,333300,26.0
"",7310,333400,26.0
"",6804,333300,27.0
"",9141,333300,27.0
"",7552,333400,27.0
"",7002,333300,28.0
"",9382,333300,28.0
"",7772,333400,28.0
"",7198,333300,29.0
"",9617,333300,29.0
"",7979,333400,29.0
"",7396,333300,30.0
"",9856,333300,30.0
"",8161,333400,30.0
"",7579,333300,31.0
"",10092,333300,31.0
"",8341,333400,31.0
"",7743,333300,32.0
"",10327,333300,32.0
"",8519,333400,32.0
"",7897,333300,33.0
"",10545,333300,33.0
"",8703,333400,33.0
"",8044,333300,34.0
"",10758,333300,34.0
"",8882,333400,34.0
"",8195,333300,35.0
"",10959,333300,35.0
"",9053,333400,35.0
"",8351,333300,36.0
"",11148,333300,36.0
"",9218,333400,36.0
"",8494,333300,37.0
"",11339,333300,37.0
"",9378,333400,37.0
"",8633,333300,38.0
"",11521,333300,38.0
"",9528,333400,38.0
"",8776,333300,39.0
"",11683,333300,39.0
"",9674,333400,39.0
"",8907,333300,40.0
"",11842,333300,40.0
"",9817,333400,40.0
"",9024,333300,41.0
"",12010,333300,41.0
"",9947,333400,41.0
"",9157,333300,42.0
"",12150,333300,42.0
"",10072,333400,42.0
"",9258,333300,43.0
"",12298,333300,43.0
"",10196,333400,43.0
"",9360,333300,44.0
"",12418,333300,44.0
"",10330,333400,44.0
"",9469,333300,45.0
"",12545,333300,45.0
"",10430,333400,45.0
"",9578,333300,46.0
"",12658,333300,46.0
"",10529,333400,46.0
"",9662,333300,47.0
"",12784,333300,47.0
"",10621,333400,47.0
"",9739,333300,48.0
"",12890,333300,48.0
"",10726,333400,48.0
"",9817,333300,49.0
"",12997,333300,49.0
"",10818,333400,49.0
"",9897,333300,50.0
"",13087,333300,50.0
"",10915,333400,50.0
