"PlantId","TotalDamge","MaxDamage","tick"
"",241,510000,1.0
"",259,490000,1.0
"",483,510000,2.0
"",515,490000,2.0
"",723,510000,3.0
"",767,490000,3.0
"",961,510000,4.0
"",1016,490000,4.0
"",1196,510000,5.0
"",1261,490000,5.0
"",1430,510000,6.0
"",1500,490000,6.0
"",1663,510000,7.0
"",1734,490000,7.0
"",1892,510000,8.0
"",1963,490000,8.0
"",2115,510000,9.0
"",2188,490000,9.0
"",2329,510000,10.0
"",2411,490000,10.0
"",2535,510000,11.0
"",2633,490000,11.0
"",2739,510000,12.0
"",2847,490000,12.0
"",2937,510000,13.0
"",3055,490000,13.0
"",3128,510000,14.0
"",3258,490000,14.0
"",3316,510000,15.0
"",3452,490000,15.0
"",3493,510000,16.0
"",3645,490000,16.0
"",3663,510000,17.0
"",3834,490000,17.0
"",3819,510000,18.0
"",4019,490000,18.0
"",3968,510000,19.0
"",4203,490000,19.0
"",4110,510000,20.0
"",4382,490000,20.0
"",4248,510000,21.0
"",4558,490000,21.0
"",4385,510000,22.0
"",4724,490000,22.0
"",4523,510000,23.0
"",4884,490000,23.0
"",4656,510000,24.0
"",5041,490000,24.0
"",4786,510000,25.0
"",5191,490000,25.0
"",4914,510000,26.0
"",5334,490000,26.0
"",5040,510000,27.0
"",5471,490000,27.0
"",5160,510000,28.0
"",5605,490000,28.0
"",5277,510000,29.0
"",5734,490000,29.0
"",5387,510000,30.0
"",5857,490000,30.0
"",5491,510000,31.0
"",5978,490000,31.0
"",5592,510000,32.0
"",6090,490000,32.0
"",5690,510000,33.0
"",6201,490000,33.0
"",5784,510000,34.0
"",6309,490000,34.0
"",5875,510000,35.0
"",6412,490000,35.0
"",5961,510000,36.0
"",6507,490000,36.0
"",6043,510000,37.0
"",6595,490000,37.0
"",6120,510000,38.0
"",6680,490000,38.0
"",6193,510000,39.0
"",6759,490000,39.0
"",6262,510000,40.0
"",6837,490000,40.0
"",6329,510000,41.0
"",6906,490000,41.0
"",6391,510000,42.0
"",6971,490000,42.0
"",6446,510000,43.0
"",7035,490000,43.0
"",6499,510000,44.0
"",7093,490000,44.0
"",6550,510000,45.0
"",7148,490000,45.0
"",6600,510000,46.0
"",7198,490000,46.0
"",6648,510000,47.0
"",7243,490000,47.0
"",6691,510000,48.0
"",7287,490000,48.0
"",6731,510000,49.0
"",7329,490000,49.0
"",6767,510000,50.0
"",7369,490000,50.0
"",6802,510000,51.0
"",7407,490000,51.0
"",6833,510000,52.0
"",7440,490000,52.0
"",6861,510000,53.0
"",7472,490000,53.0
"",6887,510000,54.0
"",7503,490000,54.0
"",6915,510000,55.0
"",7531,490000,55.0
"",6937,510000,56.0
"",7556,490000,56.0
"",6958,510000,57.0
"",7581,490000,57.0
"",6977,510000,58.0
"",7604,490000,58.0
"",6995,510000,59.0
"",7625,490000,59.0
"",7012,510000,60.0
"",7644,490000,60.0
"",7026,510000,61.0
"",7662,490000,61.0
"",7039,510000,62.0
"",7679,490000,62.0
"",7052,510000,63.0
"",7696,490000,63.0
"",7064,510000,64.0
"",7711,490000,64.0
"",7075,510000,65.0
"",7726,490000,65.0
"",7085,510000,66.0
"",7740,490000,66.0
"",7095,510000,67.0
"",7754,490000,67.0
"",7102,510000,68.0
"",7766,490000,68.0
"",7107,510000,69.0
"",7777,490000,69.0
"",7113,510000,70.0
"",7787,490000,70.0
"",7119,510000,71.0
"",7797,490000,71.0
"",7125,510000,72.0
"",7807,490000,72.0
"",7130,510000,73.0
"",7817,490000,73.0
"",7134,510000,74.0
"",7827,490000,74.0
"",7138,510000,75.0
"",7836,490000,75.0
"",7142,510000,76.0
"",7844,490000,76.0
"",7146,510000,77.0
"",7851,490000,77.0
"",7149,510000,78.0
"",7858,490000,78.0
"",7151,510000,79.0
"",7863,490000,79.0
"",7153,510000,80.0
"",7866,490000,80.0
"",7154,510000,81.0
"",7868,490000,81.0
"",7155,510000,82.0
"",7869,490000,82.0
"",7156,510000,83.0
"",7870,490000,83.0
"",7157,510000,84.0
"",7871,490000,84.0
"",7158,510000,85.0
"",7872,490000,85.0
"",7159,510000,86.0
"",7873,490000,86.0
"",7159,510000,87.0
"",7874,490000,87.0
"",7159,510000,88.0
"",7875,490000,88.0
"",7159,510000,89.0
"",7876,490000,89.0
"",7159,510000,90.0
"",7877,490000,90.0
"",7159,510000,91.0
"",7878,490000,91.0
"",7159,510000,92.0
"",7879,490000,92.0
"",7159,510000,93.0
"",7880,490000,93.0
"",7159,510000,94.0
"",7881,490000,94.0
"",7159,510000,95.0
"",7882,490000,95.0
"",7159,510000,96.0
"",7883,490000,96.0
"",7159,510000,97.0
"",7884,490000,97.0
"",7159,510000,98.0
"",7885,490000,98.0
"",7159,510000,99.0
"",7886,490000,99.0
"",7159,510000,100.0
"",7886,490000,100.0
