"PlantId","TotalDamge","MaxDamage","tick"
"",247,510000,1.0
"",253,490000,1.0
"",476,510000,2.0
"",511,490000,2.0
"",689,510000,3.0
"",775,490000,3.0
"",894,510000,4.0
"",1036,490000,4.0
"",1083,510000,5.0
"",1303,490000,5.0
"",1261,510000,6.0
"",1571,490000,6.0
"",1427,510000,7.0
"",1837,490000,7.0
"",1598,510000,8.0
"",2084,490000,8.0
"",1759,510000,9.0
"",2335,490000,9.0
"",1907,510000,10.0
"",2585,490000,10.0
"",2052,510000,11.0
"",2833,490000,11.0
"",2181,510000,12.0
"",3085,490000,12.0
"",2299,510000,13.0
"",3338,490000,13.0
"",2413,510000,14.0
"",3582,490000,14.0
"",2515,510000,15.0
"",3823,490000,15.0
"",2612,510000,16.0
"",4058,490000,16.0
"",2704,510000,17.0
"",4289,490000,17.0
"",2802,510000,18.0
"",4503,490000,18.0
"",2902,510000,19.0
"",4708,490000,19.0
"",3001,510000,20.0
"",4910,490000,20.0
"",3101,510000,21.0
"",5104,490000,21.0
"",3196,510000,22.0
"",5289,490000,22.0
"",3291,510000,23.0
"",5464,490000,23.0
"",3388,510000,24.0
"",5628,490000,24.0
"",3476,510000,25.0
"",5791,490000,25.0
"",3556,510000,26.0
"",5948,490000,26.0
"",3639,510000,27.0
"",6091,490000,27.0
"",3715,510000,28.0
"",6236,490000,28.0
"",3791,510000,29.0
"",6367,490000,29.0
"",3862,510000,30.0
"",6495,490000,30.0
"",3925,510000,31.0
"",6614,490000,31.0
"",3983,510000,32.0
"",6728,490000,32.0
"",4032,510000,33.0
"",6840,490000,33.0
"",4073,510000,34.0
"",6950,490000,34.0
"",4114,510000,35.0
"",7052,490000,35.0
"",4148,510000,36.0
"",7151,490000,36.0
"",4177,510000,37.0
"",7248,490000,37.0
"",4203,510000,38.0
"",7341,490000,38.0
"",4227,510000,39.0
"",7428,490000,39.0
"",4259,510000,40.0
"",7498,490000,40.0
"",4292,510000,41.0
"",7565,490000,41.0
"",4318,510000,42.0
"",7632,490000,42.0
"",4345,510000,43.0
"",7695,490000,43.0
"",4372,510000,44.0
"",7750,490000,44.0
"",4394,510000,45.0
"",7806,490000,45.0
"",4411,510000,46.0
"",7866,490000,46.0
"",4427,510000,47.0
"",7919,490000,47.0
"",4445,510000,48.0
"",7966,490000,48.0
"",4457,510000,49.0
"",8011,490000,49.0
"",4472,510000,50.0
"",8046,490000,50.0
"",4483,510000,51.0
"",8084,490000,51.0
"",4492,510000,52.0
"",8122,490000,52.0
"",4502,510000,53.0
"",8155,490000,53.0
"",4511,510000,54.0
"",8187,490000,54.0
"",4521,510000,55.0
"",8214,490000,55.0
"",4531,510000,56.0
"",8236,490000,56.0
"",4540,510000,57.0
"",8255,490000,57.0
"",4549,510000,58.0
"",8271,490000,58.0
"",4557,510000,59.0
"",8287,490000,59.0
"",4565,510000,60.0
"",8301,490000,60.0
"",4572,510000,61.0
"",8316,490000,61.0
"",4578,510000,62.0
"",8330,490000,62.0
"",4583,510000,63.0
"",8343,490000,63.0
"",4588,510000,64.0
"",8354,490000,64.0
"",4593,510000,65.0
"",8364,490000,65.0
"",4597,510000,66.0
"",8373,490000,66.0
"",4600,510000,67.0
"",8382,490000,67.0
"",4602,510000,68.0
"",8392,490000,68.0
"",4602,510000,69.0
"",8401,490000,69.0
"",4602,510000,70.0
"",8410,490000,70.0
"",4602,510000,71.0
"",8418,490000,71.0
"",4602,510000,72.0
"",8426,490000,72.0
"",4603,510000,73.0
"",8433,490000,73.0
"",4604,510000,74.0
"",8439,490000,74.0
"",4606,510000,75.0
"",8443,490000,75.0
"",4609,510000,76.0
"",8445,490000,76.0
"",4611,510000,77.0
"",8447,490000,77.0
"",4613,510000,78.0
"",8449,490000,78.0
"",4614,510000,79.0
"",8451,490000,79.0
"",4614,510000,80.0
"",8453,490000,80.0
"",4614,510000,81.0
"",8454,490000,81.0
"",4614,510000,82.0
"",8455,490000,82.0
"",4614,510000,83.0
"",8456,490000,83.0
"",4615,510000,84.0
"",8456,490000,84.0
"",4616,510000,85.0
"",8456,490000,85.0
"",4617,510000,86.0
"",8456,490000,86.0
"",4618,510000,87.0
"",8456,490000,87.0
"",4619,510000,88.0
"",8456,490000,88.0
"",4620,510000,89.0
"",8456,490000,89.0
"",4621,510000,90.0
"",8456,490000,90.0
