"tick","crop to crop","crop to trap","trap to crop","trap to trap"
1.0,167.0,0.0,0.0,0.0
2.0,355.0,0.0,0.0,0.0
3.0,518.0,0.0,0.0,0.0
4.0,688.0,0.0,0.0,0.0
5.0,859.0,0.0,0.0,0.0
6.0,992.0,0.0,0.0,0.0
7.0,1152.0,0.0,0.0,0.0
8.0,1290.0,0.0,0.0,0.0
9.0,1423.0,0.0,0.0,0.0
10.0,1538.0,0.0,0.0,0.0
11.0,1673.0,0.0,0.0,0.0
12.0,1792.0,0.0,0.0,0.0
13.0,1927.0,0.0,0.0,0.0
14.0,2054.0,0.0,0.0,0.0
15.0,2153.0,0.0,0.0,0.0
16.0,2267.0,0.0,0.0,0.0
17.0,2377.0,0.0,0.0,0.0
18.0,2485.0,0.0,0.0,0.0
19.0,2573.0,0.0,0.0,0.0
20.0,2665.0,0.0,0.0,0.0
21.0,2773.0,0.0,0.0,0.0
22.0,2863.0,0.0,0.0,0.0
23.0,2946.0,0.0,0.0,0.0
24.0,3015.0,0.0,0.0,0.0
25.0,3090.0,0.0,0.0,0.0
26.0,3166.0,0.0,0.0,0.0
27.0,3241.0,0.0,0.0,0.0
28.0,3312.0,0.0,0.0,0.0
29.0,3375.0,0.0,0.0,0.0
30.0,3430.0,0.0,0.0,0.0
31.0,3489.0,0.0,0.0,0.0
32.0,3538.0,0.0,0.0,0.0
33.0,3589.0,0.0,0.0,0.0
34.0,3633.0,0.0,0.0,0.0
35.0,3681.0,0.0,0.0,0.0
36.0,3731.0,0.0,0.0,0.0
37.0,3776.0,0.0,0.0,0.0
38.0,3811.0,0.0,0.0,0.0
39.0,3858.0,0.0,0.0,0.0
40.0,3888.0,0.0,0.0,0.0
41.0,3928.0,0.0,0.0,0.0
42.0,3957.0,0.0,0.0,0.0
43.0,3987.0,0.0,0.0,0.0
44.0,4016.0,0.0,0.0,0.0
45.0,4037.0,0.0,0.0,0.0
46.0,4071.0,0.0,0.0,0.0
47.0,4101.0,0.0,0.0,0.0
48.0,4125.0,0.0,0.0,0.0
49.0,4141.0,0.0,0.0,0.0
50.0,4157.0,0.0,0.0,0.0
51.0,4180.0,0.0,0.0,0.0
52.0,4198.0,0.0,0.0,0.0
53.0,4213.0,0.0,0.0,0.0
54.0,4231.0,0.0,0.0,0.0
55.0,4250.0,0.0,0.0,0.0
56.0,4260.0,0.0,0.0,0.0
57.0,4274.0,0.0,0.0,0.0
58.0,4287.0,0.0,0.0,0.0
