"PlantId","TotalDamge","MaxDamage","tick"
"",274,500000,1.0
"",226,150000,1.0
"",544,500000,2.0
"",456,150000,2.0
"",803,500000,3.0
"",692,150000,3.0
"",1069,500000,4.0
"",919,150000,4.0
"",1325,500000,5.0
"",1149,150000,5.0
"",1572,500000,6.0
"",1386,150000,6.0
"",1793,500000,7.0
"",1647,150000,7.0
"",2018,500000,8.0
"",1902,150000,8.0
"",2253,500000,9.0
"",2144,150000,9.0
"",2482,500000,10.0
"",2386,150000,10.0
"",2695,500000,11.0
"",2632,150000,11.0
"",2922,500000,12.0
"",2855,150000,12.0
"",3134,500000,13.0
"",3086,150000,13.0
"",3332,500000,14.0
"",3328,150000,14.0
"",3525,500000,15.0
"",3568,150000,15.0
"",3726,500000,16.0
"",3794,150000,16.0
"",3929,500000,17.0
"",4005,150000,17.0
"",4141,500000,18.0
"",4200,150000,18.0
"",4343,500000,19.0
"",4393,150000,19.0
"",4542,500000,20.0
"",4583,150000,20.0
"",4748,500000,21.0
"",4756,150000,21.0
"",4930,500000,22.0
"",4950,150000,22.0
"",5113,500000,23.0
"",5130,150000,23.0
"",5295,500000,24.0
"",5304,150000,24.0
"",5455,500000,25.0
"",5489,150000,25.0
"",5617,500000,26.0
"",5664,150000,26.0
"",5774,500000,27.0
"",5837,150000,27.0
"",5942,500000,28.0
"",5989,150000,28.0
"",6106,500000,29.0
"",6135,150000,29.0
"",6257,500000,30.0
"",6286,150000,30.0
"",6414,500000,31.0
"",6420,150000,31.0
"",6554,500000,32.0
"",6562,150000,32.0
"",6696,500000,33.0
"",6693,150000,33.0
"",6826,500000,34.0
"",6824,150000,34.0
"",6954,500000,35.0
"",6946,150000,35.0
"",7072,500000,36.0
"",7065,150000,36.0
"",7187,500000,37.0
"",7178,150000,37.0
"",7300,500000,38.0
"",7284,150000,38.0
"",7400,500000,39.0
"",7392,150000,39.0
"",7498,500000,40.0
"",7492,150000,40.0
"",7589,500000,41.0
"",7590,150000,41.0
"",7682,500000,42.0
"",7683,150000,42.0
"",7770,500000,43.0
"",7778,150000,43.0
"",7864,500000,44.0
"",7857,150000,44.0
"",7954,500000,45.0
"",7935,150000,45.0
"",8041,500000,46.0
"",8012,150000,46.0
"",8119,500000,47.0
"",8093,150000,47.0
"",8201,500000,48.0
"",8164,150000,48.0
"",8286,500000,49.0
"",8225,150000,49.0
"",8369,500000,50.0
"",8285,150000,50.0
"",8440,500000,51.0
"",8350,150000,51.0
"",8504,500000,52.0
"",8410,150000,52.0
"",8563,500000,53.0
"",8471,150000,53.0
"",8616,500000,54.0
"",8533,150000,54.0
"",8668,500000,55.0
"",8586,150000,55.0
"",8717,500000,56.0
"",8638,150000,56.0
"",8761,500000,57.0
"",8694,150000,57.0
"",8808,500000,58.0
"",8743,150000,58.0
"",8847,500000,59.0
"",8792,150000,59.0
"",8890,500000,60.0
"",8833,150000,60.0
"",8940,500000,61.0
"",8864,150000,61.0
"",8979,500000,62.0
"",8899,150000,62.0
"",9017,500000,63.0
"",8934,150000,63.0
"",9049,500000,64.0
"",8971,150000,64.0
"",9081,500000,65.0
"",9005,150000,65.0
"",9116,500000,66.0
"",9031,150000,66.0
"",9148,500000,67.0
"",9058,150000,67.0
"",9176,500000,68.0
"",9085,150000,68.0
"",9201,500000,69.0
"",9113,150000,69.0
"",9223,500000,70.0
"",9141,150000,70.0
"",9251,500000,71.0
"",9160,150000,71.0
"",9270,500000,72.0
"",9182,150000,72.0
"",9283,500000,73.0
"",9207,150000,73.0
"",9299,500000,74.0
"",9226,150000,74.0
"",9311,500000,75.0
"",9244,150000,75.0
"",9325,500000,76.0
"",9260,150000,76.0
"",9340,500000,77.0
"",9271,150000,77.0
"",9354,500000,78.0
"",9281,150000,78.0
"",9364,500000,79.0
"",9293,150000,79.0
"",9374,500000,80.0
"",9303,150000,80.0
"",9383,500000,81.0
"",9314,150000,81.0
"",9397,500000,82.0
"",9319,150000,82.0
"",9407,500000,83.0
"",9327,150000,83.0
"",9413,500000,84.0
"",9337,150000,84.0
"",9415,500000,85.0
"",9347,150000,85.0
"",9418,500000,86.0
"",9355,150000,86.0
"",9424,500000,87.0
"",9359,150000,87.0
"",9429,500000,88.0
"",9363,150000,88.0
"",9432,500000,89.0
"",9367,150000,89.0
"",9434,500000,90.0
"",9371,150000,90.0
"",9437,500000,91.0
"",9374,150000,91.0
"",9439,500000,92.0
"",9378,150000,92.0
"",9442,500000,93.0
"",9381,150000,93.0
"",9445,500000,94.0
"",9384,150000,94.0
"",9447,500000,95.0
"",9387,150000,95.0
"",9450,500000,96.0
"",9389,150000,96.0
"",9452,500000,97.0
"",9391,150000,97.0
"",9454,500000,98.0
"",9393,150000,98.0
"",9457,500000,99.0
"",9393,150000,99.0
"",9460,500000,100.0
"",9393,150000,100.0
"",9462,500000,101.0
"",9393,150000,101.0
"",9464,500000,102.0
"",9393,150000,102.0
"",9465,500000,103.0
"",9394,150000,103.0
"",9466,500000,104.0
"",9395,150000,104.0
"",9467,500000,105.0
"",9396,150000,105.0
"",9467,500000,106.0
"",9396,150000,106.0
