"tick","crop to crop","crop to trap","trap to crop","trap to trap"
1.0,10.0,3.0,0.0,6.0
2.0,23.0,5.0,2.0,18.0
3.0,28.0,6.0,5.0,28.0
4.0,37.0,7.0,10.0,35.0
5.0,43.0,9.0,14.0,44.0
6.0,50.0,9.0,18.0,59.0
7.0,62.0,10.0,21.0,69.0
8.0,71.0,12.0,24.0,82.0
9.0,77.0,16.0,26.0,93.0
10.0,86.0,18.0,27.0,101.0
11.0,95.0,18.0,30.0,111.0
12.0,106.0,19.0,31.0,124.0
13.0,116.0,20.0,33.0,130.0
14.0,126.0,20.0,66.0,144.0
15.0,138.0,20.0,84.0,149.0
16.0,150.0,20.0,95.0,150.0
17.0,163.0,20.0,106.0,150.0
18.0,175.0,20.0,109.0,150.0
19.0,189.0,20.0,116.0,150.0
20.0,204.0,20.0,122.0,150.0
21.0,214.0,20.0,131.0,150.0
22.0,226.0,20.0,133.0,150.0
23.0,238.0,20.0,140.0,151.0
24.0,245.0,20.0,147.0,151.0
25.0,262.0,20.0,154.0,151.0
26.0,272.0,20.0,161.0,151.0
27.0,282.0,20.0,171.0,152.0
28.0,287.0,20.0,175.0,152.0
29.0,302.0,20.0,183.0,153.0
30.0,310.0,20.0,186.0,153.0
31.0,326.0,20.0,195.0,153.0
32.0,333.0,20.0,200.0,153.0
33.0,337.0,20.0,202.0,153.0
34.0,347.0,20.0,203.0,153.0
35.0,355.0,20.0,209.0,153.0
36.0,364.0,20.0,213.0,153.0
37.0,367.0,20.0,215.0,153.0
38.0,375.0,20.0,222.0,153.0
39.0,383.0,20.0,225.0,153.0
40.0,388.0,20.0,229.0,153.0
41.0,388.0,20.0,229.0,153.0
42.0,395.0,20.0,233.0,153.0
43.0,399.0,20.0,238.0,153.0
