"Count","tick","InsectId"
500,1.0,""
500,2.0,""
496,3.0,""
493,4.0,""
490,5.0,""
486,6.0,""
482,7.0,""
478,8.0,""
472,9.0,""
464,10.0,""
459,11.0,""
445,12.0,""
439,13.0,""
433,14.0,""
427,15.0,""
198,16.0,""
152,17.0,""
140,18.0,""
136,19.0,""
131,20.0,""
127,21.0,""
124,22.0,""
122,23.0,""
118,24.0,""
114,25.0,""
109,26.0,""
104,27.0,""
103,28.0,""
97,29.0,""
94,30.0,""
92,31.0,""
89,32.0,""
87,33.0,""
86,34.0,""
82,35.0,""
78,36.0,""
76,37.0,""
71,38.0,""
67,39.0,""
64,40.0,""
61,41.0,""
59,42.0,""
59,43.0,""
57,44.0,""
54,45.0,""
54,46.0,""
52,47.0,""
49,48.0,""
46,49.0,""
43,50.0,""
40,51.0,""
37,52.0,""
34,53.0,""
32,54.0,""
31,55.0,""
30,56.0,""
29,57.0,""
28,58.0,""
26,59.0,""
26,60.0,""
24,61.0,""
22,62.0,""
21,63.0,""
19,64.0,""
19,65.0,""
17,66.0,""
15,67.0,""
15,68.0,""
15,69.0,""
14,70.0,""
10,71.0,""
10,72.0,""
10,73.0,""
10,74.0,""
10,75.0,""
10,76.0,""
9,77.0,""
9,78.0,""
9,79.0,""
9,80.0,""
9,81.0,""
7,82.0,""
7,83.0,""
7,84.0,""
6,85.0,""
5,86.0,""
5,87.0,""
4,88.0,""
4,89.0,""
3,90.0,""
3,91.0,""
3,92.0,""
3,93.0,""
2,94.0,""
2,95.0,""
1,96.0,""
0,97.0,""
