"Count","tick","InsectId"
500,1.0,""
491,2.0,""
476,3.0,""
460,4.0,""
450,5.0,""
436,6.0,""
426,7.0,""
409,8.0,""
396,9.0,""
382,10.0,""
371,11.0,""
359,12.0,""
347,13.0,""
336,14.0,""
323,15.0,""
311,16.0,""
303,17.0,""
295,18.0,""
280,19.0,""
272,20.0,""
262,21.0,""
251,22.0,""
239,23.0,""
227,24.0,""
222,25.0,""
213,26.0,""
204,27.0,""
197,28.0,""
188,29.0,""
178,30.0,""
173,31.0,""
166,32.0,""
158,33.0,""
146,34.0,""
137,35.0,""
130,36.0,""
123,37.0,""
116,38.0,""
110,39.0,""
108,40.0,""
101,41.0,""
89,42.0,""
82,43.0,""
80,44.0,""
79,45.0,""
78,46.0,""
72,47.0,""
66,48.0,""
63,49.0,""
58,50.0,""
56,51.0,""
47,52.0,""
43,53.0,""
40,54.0,""
37,55.0,""
33,56.0,""
33,57.0,""
30,58.0,""
