"tick","crop to crop","crop to trap","trap to crop","trap to trap"
1.0,500.0,0.0,0.0,0.0
2.0,999.0,0.0,0.0,0.0
3.0,1495.0,0.0,0.0,0.0
4.0,1990.0,0.0,0.0,0.0
5.0,2483.0,0.0,0.0,0.0
6.0,2973.0,0.0,0.0,0.0
7.0,3459.0,0.0,0.0,0.0
8.0,3943.0,0.0,0.0,0.0
9.0,4425.0,0.0,0.0,0.0
10.0,4903.0,0.0,0.0,0.0
11.0,5378.0,0.0,0.0,0.0
12.0,5844.0,0.0,0.0,0.0
13.0,6302.0,0.0,0.0,0.0
14.0,6751.0,0.0,0.0,0.0
15.0,7192.0,0.0,0.0,0.0
16.0,7628.0,0.0,0.0,0.0
17.0,8059.0,0.0,0.0,0.0
18.0,8481.0,0.0,0.0,0.0
19.0,8892.0,0.0,0.0,0.0
20.0,9295.0,0.0,0.0,0.0
21.0,9690.0,0.0,0.0,0.0
22.0,10078.0,0.0,0.0,0.0
23.0,10456.0,0.0,0.0,0.0
24.0,10821.0,0.0,0.0,0.0
25.0,11179.0,0.0,0.0,0.0
26.0,11529.0,0.0,0.0,0.0
27.0,11867.0,0.0,0.0,0.0
28.0,12199.0,0.0,0.0,0.0
29.0,12517.0,0.0,0.0,0.0
30.0,12829.0,0.0,0.0,0.0
31.0,13127.0,0.0,0.0,0.0
32.0,13411.0,0.0,0.0,0.0
33.0,13690.0,0.0,0.0,0.0
34.0,13956.0,0.0,0.0,0.0
35.0,14217.0,0.0,0.0,0.0
36.0,14472.0,0.0,0.0,0.0
37.0,14720.0,0.0,0.0,0.0
38.0,14961.0,0.0,0.0,0.0
39.0,15191.0,0.0,0.0,0.0
40.0,15415.0,0.0,0.0,0.0
41.0,15633.0,0.0,0.0,0.0
42.0,15839.0,0.0,0.0,0.0
43.0,16039.0,0.0,0.0,0.0
44.0,16229.0,0.0,0.0,0.0
45.0,16410.0,0.0,0.0,0.0
46.0,16583.0,0.0,0.0,0.0
47.0,16750.0,0.0,0.0,0.0
48.0,16908.0,0.0,0.0,0.0
49.0,17061.0,0.0,0.0,0.0
50.0,17205.0,0.0,0.0,0.0
51.0,17347.0,0.0,0.0,0.0
52.0,17480.0,0.0,0.0,0.0
53.0,17606.0,0.0,0.0,0.0
54.0,17726.0,0.0,0.0,0.0
55.0,17837.0,0.0,0.0,0.0
56.0,17944.0,0.0,0.0,0.0
57.0,18045.0,0.0,0.0,0.0
58.0,18138.0,0.0,0.0,0.0
59.0,18224.0,0.0,0.0,0.0
60.0,18303.0,0.0,0.0,0.0
61.0,18378.0,0.0,0.0,0.0
62.0,18449.0,0.0,0.0,0.0
63.0,18517.0,0.0,0.0,0.0
64.0,18581.0,0.0,0.0,0.0
65.0,18641.0,0.0,0.0,0.0
66.0,18697.0,0.0,0.0,0.0
67.0,18751.0,0.0,0.0,0.0
68.0,18801.0,0.0,0.0,0.0
69.0,18850.0,0.0,0.0,0.0
70.0,18895.0,0.0,0.0,0.0
71.0,18934.0,0.0,0.0,0.0
72.0,18971.0,0.0,0.0,0.0
73.0,19006.0,0.0,0.0,0.0
74.0,19036.0,0.0,0.0,0.0
75.0,19063.0,0.0,0.0,0.0
76.0,19087.0,0.0,0.0,0.0
77.0,19109.0,0.0,0.0,0.0
78.0,19130.0,0.0,0.0,0.0
79.0,19151.0,0.0,0.0,0.0
80.0,19170.0,0.0,0.0,0.0
81.0,19188.0,0.0,0.0,0.0
82.0,19203.0,0.0,0.0,0.0
83.0,19215.0,0.0,0.0,0.0
84.0,19227.0,0.0,0.0,0.0
85.0,19238.0,0.0,0.0,0.0
86.0,19249.0,0.0,0.0,0.0
87.0,19260.0,0.0,0.0,0.0
88.0,19271.0,0.0,0.0,0.0
89.0,19281.0,0.0,0.0,0.0
90.0,19289.0,0.0,0.0,0.0
91.0,19297.0,0.0,0.0,0.0
92.0,19305.0,0.0,0.0,0.0
93.0,19313.0,0.0,0.0,0.0
94.0,19321.0,0.0,0.0,0.0
95.0,19328.0,0.0,0.0,0.0
96.0,19333.0,0.0,0.0,0.0
97.0,19338.0,0.0,0.0,0.0
98.0,19343.0,0.0,0.0,0.0
99.0,19346.0,0.0,0.0,0.0
100.0,19348.0,0.0,0.0,0.0
101.0,19350.0,0.0,0.0,0.0
102.0,19352.0,0.0,0.0,0.0
103.0,19354.0,0.0,0.0,0.0
104.0,19356.0,0.0,0.0,0.0
105.0,19357.0,0.0,0.0,0.0
106.0,19358.0,0.0,0.0,0.0
107.0,19359.0,0.0,0.0,0.0
108.0,19360.0,0.0,0.0,0.0
109.0,19361.0,0.0,0.0,0.0
110.0,19362.0,0.0,0.0,0.0
111.0,19363.0,0.0,0.0,0.0
112.0,19363.0,0.0,0.0,0.0
