"Count","tick","InsectId"
500,1.0,""
487,2.0,""
477,3.0,""
466,4.0,""
456,5.0,""
446,6.0,""
432,7.0,""
418,8.0,""
412,9.0,""
398,10.0,""
393,11.0,""
381,12.0,""
371,13.0,""
358,14.0,""
343,15.0,""
332,16.0,""
323,17.0,""
312,18.0,""
305,19.0,""
301,20.0,""
294,21.0,""
280,22.0,""
270,23.0,""
261,24.0,""
251,25.0,""
237,26.0,""
226,27.0,""
221,28.0,""
207,29.0,""
199,30.0,""
182,31.0,""
172,32.0,""
161,33.0,""
151,34.0,""
143,35.0,""
133,36.0,""
126,37.0,""
119,38.0,""
111,39.0,""
102,40.0,""
100,41.0,""
93,42.0,""
90,43.0,""
82,44.0,""
78,45.0,""
77,46.0,""
69,47.0,""
65,48.0,""
57,49.0,""
50,50.0,""
49,51.0,""
47,52.0,""
43,53.0,""
41,54.0,""
37,55.0,""
32,56.0,""
28,57.0,""
25,58.0,""
24,59.0,""
22,60.0,""
22,61.0,""
20,62.0,""
18,63.0,""
16,64.0,""
15,65.0,""
13,66.0,""
12,67.0,""
12,68.0,""
9,69.0,""
9,70.0,""
8,71.0,""
8,72.0,""
8,73.0,""
7,74.0,""
6,75.0,""
5,76.0,""
4,77.0,""
4,78.0,""
3,79.0,""
2,80.0,""
1,81.0,""
1,82.0,""
1,83.0,""
1,84.0,""
1,85.0,""
1,86.0,""
1,87.0,""
1,88.0,""
1,89.0,""
1,90.0,""
