"tick","crop to crop","crop to trap","trap to crop","trap to trap"
1.0,34.0,0.0,0.0,0.0
2.0,150.0,0.0,0.0,0.0
3.0,275.0,0.0,0.0,0.0
4.0,412.0,0.0,0.0,0.0
5.0,535.0,0.0,0.0,0.0
6.0,662.0,0.0,0.0,0.0
7.0,772.0,0.0,0.0,0.0
8.0,886.0,0.0,0.0,0.0
9.0,996.0,0.0,0.0,0.0
10.0,1108.0,0.0,0.0,0.0
11.0,1207.0,0.0,0.0,0.0
12.0,1304.0,0.0,0.0,0.0
13.0,1408.0,0.0,0.0,0.0
14.0,1504.0,0.0,0.0,0.0
15.0,1609.0,0.0,0.0,0.0
16.0,1700.0,0.0,0.0,0.0
17.0,1782.0,0.0,0.0,0.0
18.0,1868.0,0.0,0.0,0.0
19.0,1966.0,0.0,0.0,0.0
20.0,2043.0,0.0,0.0,0.0
21.0,2118.0,0.0,0.0,0.0
22.0,2208.0,0.0,0.0,0.0
23.0,2279.0,0.0,0.0,0.0
24.0,2350.0,0.0,0.0,0.0
25.0,2417.0,0.0,0.0,0.0
26.0,2499.0,0.0,0.0,0.0
27.0,2568.0,0.0,0.0,0.0
28.0,2629.0,0.0,0.0,0.0
29.0,2688.0,0.0,0.0,0.0
30.0,2746.0,0.0,0.0,0.0
31.0,2798.0,0.0,0.0,0.0
32.0,2852.0,0.0,0.0,0.0
33.0,2896.0,0.0,0.0,0.0
34.0,2947.0,0.0,0.0,0.0
