"PlantId","TotalDamge","MaxDamage","tick"
"",146,250000,1.0
"",354,750000,1.0
"",293,250000,2.0
"",693,750000,2.0
"",451,250000,3.0
"",996,750000,3.0
"",609,250000,4.0
"",1279,750000,4.0
"",766,250000,5.0
"",1543,750000,5.0
"",914,250000,6.0
"",1622,750000,6.0
"",1052,250000,7.0
"",1682,750000,7.0
"",1185,250000,8.0
"",1737,750000,8.0
"",1313,250000,9.0
"",1782,750000,9.0
"",1439,250000,10.0
"",1821,750000,10.0
"",1553,250000,11.0
"",1860,750000,11.0
"",1662,250000,12.0
"",1897,750000,12.0
"",1765,250000,13.0
"",1932,750000,13.0
"",1855,250000,14.0
"",1971,750000,14.0
"",1934,250000,15.0
"",2010,750000,15.0
"",2003,250000,16.0
"",2051,750000,16.0
"",2075,250000,17.0
"",2081,750000,17.0
"",2139,250000,18.0
"",2107,750000,18.0
"",2198,250000,19.0
"",2131,750000,19.0
"",2258,250000,20.0
"",2149,750000,20.0
"",2313,250000,21.0
"",2166,750000,21.0
"",2362,250000,22.0
"",2184,750000,22.0
"",2406,250000,23.0
"",2202,750000,23.0
"",2447,250000,24.0
"",2220,750000,24.0
"",2487,250000,25.0
"",2237,750000,25.0
"",2519,250000,26.0
"",2256,750000,26.0
"",2545,250000,27.0
"",2273,750000,27.0
"",2573,250000,28.0
"",2284,750000,28.0
"",2601,250000,29.0
"",2292,750000,29.0
"",2628,250000,30.0
"",2297,750000,30.0
"",2651,250000,31.0
"",2304,750000,31.0
"",2669,250000,32.0
"",2313,750000,32.0
"",2688,250000,33.0
"",2320,750000,33.0
"",2706,250000,34.0
"",2325,750000,34.0
"",2721,250000,35.0
"",2331,750000,35.0
"",2734,250000,36.0
"",2337,750000,36.0
"",2746,250000,37.0
"",2343,750000,37.0
"",2759,250000,38.0
"",2348,750000,38.0
"",2766,250000,39.0
"",2356,750000,39.0
"",2773,250000,40.0
"",2361,750000,40.0
"",2778,250000,41.0
"",2366,750000,41.0
"",2783,250000,42.0
"",2369,750000,42.0
"",2788,250000,43.0
"",2372,750000,43.0
"",2791,250000,44.0
"",2375,750000,44.0
"",2794,250000,45.0
"",2377,750000,45.0
"",2798,250000,46.0
"",2378,750000,46.0
"",2802,250000,47.0
"",2379,750000,47.0
"",2805,250000,48.0
"",2380,750000,48.0
"",2808,250000,49.0
"",2380,750000,49.0
"",2811,250000,50.0
"",2380,750000,50.0
"",2814,250000,51.0
"",2380,750000,51.0
"",2817,250000,52.0
"",2380,750000,52.0
"",2818,250000,53.0
"",2380,750000,53.0
"",2819,250000,54.0
"",2380,750000,54.0
"",2820,250000,55.0
"",2380,750000,55.0
"",2821,250000,56.0
"",2380,750000,56.0
"",2822,250000,57.0
"",2380,750000,57.0
"",2823,250000,58.0
"",2380,750000,58.0
"",2823,250000,59.0
"",2381,750000,59.0
"",2823,250000,60.0
"",2382,750000,60.0
"",2824,250000,61.0
"",2382,750000,61.0
"",2824,250000,62.0
"",2382,750000,62.0
