"PlantId","TotalDamge","MaxDamage","tick"
"",268,490000,1.0
"",232,510000,1.0
"",558,490000,2.0
"",435,510000,2.0
"",865,490000,3.0
"",613,510000,3.0
"",1174,490000,4.0
"",774,510000,4.0
"",1487,490000,5.0
"",924,510000,5.0
"",1803,490000,6.0
"",1060,510000,6.0
"",2124,490000,7.0
"",1184,510000,7.0
"",2437,490000,8.0
"",1302,510000,8.0
"",2739,490000,9.0
"",1414,510000,9.0
"",3045,490000,10.0
"",1510,510000,10.0
"",3341,490000,11.0
"",1600,510000,11.0
"",3643,490000,12.0
"",1678,510000,12.0
"",3936,490000,13.0
"",1757,510000,13.0
"",4227,490000,14.0
"",1829,510000,14.0
"",4505,490000,15.0
"",1896,510000,15.0
"",4775,490000,16.0
"",1960,510000,16.0
"",5043,490000,17.0
"",2016,510000,17.0
"",5298,490000,18.0
"",2072,510000,18.0
"",5540,490000,19.0
"",2133,510000,19.0
"",5778,490000,20.0
"",2183,510000,20.0
"",6004,490000,21.0
"",2234,510000,21.0
"",6227,490000,22.0
"",2279,510000,22.0
"",6446,490000,23.0
"",2320,510000,23.0
"",6656,490000,24.0
"",2356,510000,24.0
"",6859,490000,25.0
"",2389,510000,25.0
"",7056,490000,26.0
"",2414,510000,26.0
"",7242,490000,27.0
"",2440,510000,27.0
"",7419,490000,28.0
"",2467,510000,28.0
"",7588,490000,29.0
"",2494,510000,29.0
"",7754,490000,30.0
"",2519,510000,30.0
"",7916,490000,31.0
"",2540,510000,31.0
"",8079,490000,32.0
"",2554,510000,32.0
"",8234,490000,33.0
"",2567,510000,33.0
"",8378,490000,34.0
"",2581,510000,34.0
"",8516,490000,35.0
"",2597,510000,35.0
"",8649,490000,36.0
"",2613,510000,36.0
"",8780,490000,37.0
"",2625,510000,37.0
"",8904,490000,38.0
"",2636,510000,38.0
"",9023,490000,39.0
"",2645,510000,39.0
"",9136,490000,40.0
"",2655,510000,40.0
"",9246,490000,41.0
"",2666,510000,41.0
"",9350,490000,42.0
"",2678,510000,42.0
"",9448,490000,43.0
"",2691,510000,43.0
"",9541,490000,44.0
"",2705,510000,44.0
"",9632,490000,45.0
"",2718,510000,45.0
"",9718,490000,46.0
"",2728,510000,46.0
"",9799,490000,47.0
"",2740,510000,47.0
"",9879,490000,48.0
"",2750,510000,48.0
"",9948,490000,49.0
"",2760,510000,49.0
"",10016,490000,50.0
"",2768,510000,50.0
"",10081,490000,51.0
"",2774,510000,51.0
"",10139,490000,52.0
"",2781,510000,52.0
"",10195,490000,53.0
"",2789,510000,53.0
"",10249,490000,54.0
"",2795,510000,54.0
"",10298,490000,55.0
"",2801,510000,55.0
"",10341,490000,56.0
"",2808,510000,56.0
"",10381,490000,57.0
"",2815,510000,57.0
"",10421,490000,58.0
"",2821,510000,58.0
"",10461,490000,59.0
"",2825,510000,59.0
"",10494,490000,60.0
"",2829,510000,60.0
"",10525,490000,61.0
"",2834,510000,61.0
"",10553,490000,62.0
"",2839,510000,62.0
"",10580,490000,63.0
"",2842,510000,63.0
"",10607,490000,64.0
"",2845,510000,64.0
"",10631,490000,65.0
"",2847,510000,65.0
"",10655,490000,66.0
"",2848,510000,66.0
"",10674,490000,67.0
"",2849,510000,67.0
"",10692,490000,68.0
"",2850,510000,68.0
"",10709,490000,69.0
"",2851,510000,69.0
"",10723,490000,70.0
"",2852,510000,70.0
"",10735,490000,71.0
"",2853,510000,71.0
"",10747,490000,72.0
"",2854,510000,72.0
"",10759,490000,73.0
"",2855,510000,73.0
"",10768,490000,74.0
"",2856,510000,74.0
"",10777,490000,75.0
"",2856,510000,75.0
"",10784,490000,76.0
"",2856,510000,76.0
"",10791,490000,77.0
"",2856,510000,77.0
"",10798,490000,78.0
"",2856,510000,78.0
"",10805,490000,79.0
"",2856,510000,79.0
"",10812,490000,80.0
"",2856,510000,80.0
"",10819,490000,81.0
"",2856,510000,81.0
"",10826,490000,82.0
"",2856,510000,82.0
