"tick","crop to crop","crop to trap","trap to crop","trap to trap"
1.0,116.0,72.0,0.0,4.0
2.0,235.0,111.0,0.0,17.0
3.0,327.0,150.0,0.0,35.0
4.0,411.0,178.0,0.0,51.0
5.0,486.0,216.0,0.0,68.0
6.0,546.0,247.0,0.0,88.0
7.0,603.0,273.0,0.0,108.0
8.0,668.0,296.0,0.0,131.0
9.0,707.0,312.0,0.0,144.0
10.0,746.0,334.0,0.0,159.0
11.0,784.0,359.0,0.0,174.0
12.0,816.0,388.0,0.0,186.0
13.0,844.0,411.0,0.0,208.0
14.0,873.0,434.0,0.0,219.0
15.0,898.0,456.0,0.0,234.0
16.0,917.0,473.0,0.0,252.0
17.0,941.0,494.0,0.0,273.0
18.0,956.0,518.0,0.0,287.0
19.0,969.0,541.0,0.0,297.0
20.0,984.0,559.0,0.0,315.0
21.0,991.0,578.0,0.0,330.0
22.0,1003.0,599.0,0.0,349.0
23.0,1012.0,615.0,0.0,366.0
24.0,1019.0,633.0,0.0,383.0
25.0,1023.0,649.0,0.0,400.0
26.0,1029.0,662.0,0.0,417.0
27.0,1033.0,679.0,0.0,428.0
28.0,1037.0,691.0,0.0,444.0
29.0,1044.0,705.0,0.0,459.0
30.0,1048.0,718.0,0.0,468.0
31.0,1054.0,726.0,0.0,485.0
32.0,1057.0,737.0,0.0,494.0
33.0,1061.0,749.0,0.0,508.0
34.0,1066.0,757.0,0.0,518.0
35.0,1073.0,772.0,0.0,528.0
36.0,1077.0,784.0,0.0,540.0
37.0,1079.0,802.0,0.0,557.0
38.0,1080.0,817.0,0.0,565.0
39.0,1082.0,828.0,0.0,579.0
40.0,1086.0,844.0,0.0,588.0
41.0,1086.0,850.0,0.0,597.0
42.0,1087.0,860.0,0.0,609.0
43.0,1088.0,868.0,0.0,618.0
44.0,1088.0,881.0,0.0,619.0
45.0,1089.0,890.0,0.0,628.0
46.0,1090.0,899.0,0.0,632.0
47.0,1091.0,907.0,0.0,635.0
48.0,1094.0,911.0,0.0,642.0
49.0,1096.0,915.0,0.0,647.0
50.0,1097.0,927.0,0.0,654.0
51.0,1098.0,930.0,0.0,663.0
52.0,1100.0,935.0,0.0,668.0
53.0,1101.0,941.0,0.0,670.0
54.0,1101.0,946.0,0.0,672.0
55.0,1102.0,952.0,0.0,676.0
56.0,1103.0,957.0,0.0,682.0
57.0,1104.0,961.0,0.0,684.0
58.0,1105.0,964.0,0.0,688.0
59.0,1106.0,967.0,0.0,692.0
60.0,1107.0,970.0,0.0,696.0
61.0,1108.0,976.0,0.0,700.0
62.0,1109.0,977.0,0.0,703.0
63.0,1110.0,980.0,0.0,706.0
64.0,1111.0,982.0,0.0,709.0
65.0,1112.0,986.0,0.0,711.0
66.0,1112.0,990.0,0.0,712.0
67.0,1112.0,991.0,0.0,714.0
68.0,1112.0,993.0,0.0,715.0
69.0,1113.0,995.0,0.0,715.0
70.0,1114.0,996.0,0.0,717.0
71.0,1114.0,997.0,0.0,718.0
72.0,1114.0,997.0,0.0,719.0
73.0,1114.0,999.0,0.0,719.0
74.0,1114.0,999.0,0.0,720.0
75.0,1115.0,1001.0,0.0,720.0
76.0,1115.0,1001.0,0.0,720.0
77.0,1116.0,1002.0,0.0,722.0
78.0,1116.0,1003.0,0.0,722.0
79.0,1117.0,1005.0,0.0,722.0
80.0,1118.0,1006.0,0.0,724.0
81.0,1118.0,1007.0,0.0,724.0
82.0,1119.0,1007.0,0.0,725.0
83.0,1120.0,1008.0,0.0,726.0
84.0,1120.0,1008.0,0.0,726.0
85.0,1120.0,1008.0,0.0,726.0
86.0,1120.0,1009.0,0.0,726.0
87.0,1120.0,1010.0,0.0,726.0
88.0,1120.0,1011.0,0.0,726.0
89.0,1121.0,1011.0,0.0,726.0
90.0,1123.0,1012.0,0.0,727.0
91.0,1123.0,1012.0,0.0,727.0
92.0,1124.0,1015.0,0.0,727.0
93.0,1125.0,1015.0,0.0,727.0
94.0,1125.0,1015.0,0.0,727.0
95.0,1125.0,1016.0,0.0,727.0
96.0,1125.0,1016.0,0.0,728.0
97.0,1125.0,1018.0,0.0,728.0
98.0,1125.0,1018.0,0.0,728.0
99.0,1125.0,1019.0,0.0,728.0
100.0,1125.0,1020.0,0.0,728.0
101.0,1125.0,1021.0,0.0,729.0
102.0,1125.0,1021.0,0.0,729.0
103.0,1125.0,1021.0,0.0,729.0
104.0,1125.0,1021.0,0.0,729.0
105.0,1125.0,1021.0,0.0,729.0
106.0,1125.0,1021.0,0.0,729.0
107.0,1125.0,1021.0,0.0,729.0
108.0,1125.0,1021.0,0.0,729.0
109.0,1125.0,1021.0,0.0,729.0
110.0,1125.0,1021.0,0.0,729.0
111.0,1125.0,1021.0,0.0,729.0
112.0,1125.0,1021.0,0.0,729.0
113.0,1125.0,1021.0,0.0,729.0
114.0,1125.0,1021.0,0.0,729.0
115.0,1125.0,1021.0,0.0,729.0
116.0,1126.0,1021.0,0.0,729.0
117.0,1126.0,1021.0,0.0,729.0
118.0,1126.0,1021.0,0.0,729.0
119.0,1126.0,1021.0,0.0,729.0
120.0,1127.0,1022.0,0.0,729.0
121.0,1127.0,1022.0,0.0,729.0
122.0,1127.0,1022.0,0.0,729.0
123.0,1127.0,1022.0,0.0,729.0
124.0,1127.0,1022.0,0.0,729.0
125.0,1127.0,1022.0,0.0,729.0
126.0,1127.0,1022.0,0.0,729.0
127.0,1127.0,1022.0,0.0,729.0
128.0,1127.0,1022.0,0.0,729.0
129.0,1127.0,1022.0,0.0,729.0
130.0,1127.0,1022.0,0.0,729.0
131.0,1127.0,1022.0,0.0,729.0
132.0,1127.0,1022.0,0.0,729.0
133.0,1127.0,1022.0,0.0,729.0
134.0,1127.0,1023.0,0.0,729.0
135.0,1127.0,1023.0,0.0,729.0
136.0,1127.0,1023.0,0.0,729.0
137.0,1127.0,1023.0,0.0,729.0
138.0,1127.0,1023.0,0.0,729.0
139.0,1127.0,1023.0,0.0,729.0
140.0,1127.0,1023.0,0.0,729.0
141.0,1127.0,1023.0,0.0,730.0
142.0,1127.0,1023.0,0.0,730.0
143.0,1127.0,1023.0,0.0,730.0
144.0,1127.0,1023.0,0.0,730.0
