"tick","crop to crop","crop to trap","trap to crop","trap to trap"
1.0,52.0,134.0,102.0,260.0
2.0,95.0,252.0,214.0,540.0
3.0,148.0,361.0,325.0,810.0
4.0,202.0,479.0,446.0,1064.0
5.0,271.0,587.0,548.0,1313.0
6.0,334.0,704.0,649.0,1558.0
7.0,381.0,825.0,768.0,1807.0
8.0,440.0,933.0,885.0,2050.0
9.0,498.0,1056.0,995.0,2276.0
10.0,547.0,1179.0,1095.0,2517.0
11.0,601.0,1276.0,1211.0,2745.0
12.0,661.0,1395.0,1305.0,2966.0
13.0,709.0,1508.0,1411.0,3190.0
14.0,760.0,1611.0,1519.0,3405.0
15.0,816.0,1719.0,1605.0,3639.0
16.0,861.0,1825.0,1713.0,3854.0
17.0,909.0,1923.0,1804.0,4085.0
18.0,948.0,2035.0,1884.0,4321.0
19.0,987.0,2118.0,1993.0,4542.0
20.0,1032.0,2219.0,2079.0,4753.0
21.0,1072.0,2310.0,2159.0,4973.0
22.0,1105.0,2399.0,2238.0,5199.0
23.0,1142.0,2475.0,2331.0,5406.0
24.0,1191.0,2557.0,2408.0,5602.0
25.0,1235.0,2640.0,2496.0,5790.0
26.0,1276.0,2735.0,2578.0,5972.0
27.0,1330.0,2801.0,2662.0,6155.0
28.0,1378.0,2894.0,2732.0,6316.0
29.0,1417.0,2973.0,2808.0,6480.0
30.0,1452.0,3053.0,2867.0,6653.0
31.0,1475.0,3124.0,2940.0,6831.0
32.0,1505.0,3193.0,3014.0,6985.0
33.0,1543.0,3261.0,3085.0,7131.0
34.0,1585.0,3328.0,3145.0,7269.0
35.0,1615.0,3403.0,3210.0,7403.0
36.0,1642.0,3472.0,3281.0,7528.0
37.0,1679.0,3532.0,3338.0,7663.0
38.0,1713.0,3593.0,3387.0,7794.0
39.0,1738.0,3653.0,3451.0,7914.0
40.0,1767.0,3714.0,3507.0,8031.0
41.0,1788.0,3779.0,3561.0,8139.0
42.0,1808.0,3831.0,3614.0,8258.0
43.0,1835.0,3876.0,3664.0,8360.0
44.0,1865.0,3922.0,3713.0,8448.0
45.0,1885.0,3977.0,3747.0,8545.0
46.0,1904.0,4015.0,3791.0,8641.0
47.0,1919.0,4057.0,3830.0,8729.0
48.0,1939.0,4089.0,3871.0,8807.0
49.0,1953.0,4134.0,3901.0,8878.0
50.0,1969.0,4162.0,3943.0,8949.0
